,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.333,0.333,0.333,0.259,0.233,0.259,0.148,0.067,0.148
1,3.0,0.44,0.44,0.44,0.36,0.321,0.36,0.2,0.119,0.2
2,4.0,0.478,0.44,0.478,0.391,0.321,0.391,0.217,0.125,0.217
3,5.0,0.522,0.48,0.522,0.435,0.345,0.435,0.261,0.15,0.261
4,6.0,0.524,0.407,0.524,0.524,0.379,0.524,0.304,0.175,0.304
5,7.0,0.632,0.5,0.632,0.632,0.5,0.632,0.381,0.205,0.381
6,8.0,0.667,0.5,0.667,0.667,0.48,0.667,0.45,0.225,0.45
7,9.0,0.706,0.48,0.706,0.706,0.462,0.706,0.526,0.244,0.526
8,10.0,0.765,0.52,0.765,0.765,0.5,0.765,0.579,0.262,0.579
9,11.0,0.778,0.56,0.778,0.778,0.519,0.778,0.6,0.261,0.6
10,12.0,0.833,0.577,0.833,0.833,0.536,0.833,0.684,0.277,0.684
11,13.0,0.889,0.593,0.889,0.889,0.571,0.889,0.737,0.292,0.737
12,14.0,0.944,0.607,0.944,0.944,0.607,0.944,0.789,0.312,0.789
13,15.0,0.947,0.621,0.947,0.947,0.581,0.947,0.842,0.333,0.842
14,16.0,0.95,0.633,0.95,0.95,0.613,0.95,0.85,0.354,0.85
15,17.0,0.947,0.545,0.947,0.947,0.562,0.947,0.9,0.375,0.9
16,18.0,0.95,0.528,0.95,0.95,0.543,0.95,0.905,0.388,0.905
17,19.0,0.952,0.541,0.952,0.952,0.571,0.952,0.952,0.4,0.952
18,20.0,0.955,0.553,0.955,0.955,0.583,0.955,0.955,0.42,0.955
