,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.333,0.333,0.333,0.259,0.233,0.259,0.148,0.067,0.148
1,3.0,0.44,0.44,0.44,0.36,0.321,0.36,0.2,0.119,0.2
2,4.0,0.435,0.4,0.435,0.391,0.321,0.391,0.217,0.125,0.217
3,5.0,0.429,0.346,0.429,0.429,0.321,0.429,0.261,0.15,0.261
4,6.0,0.476,0.385,0.476,0.476,0.345,0.476,0.304,0.175,0.304
5,7.0,0.526,0.37,0.526,0.5,0.323,0.5,0.364,0.2,0.364
6,8.0,0.647,0.458,0.647,0.611,0.423,0.611,0.45,0.225,0.45
7,9.0,0.706,0.48,0.706,0.667,0.444,0.667,0.5,0.222,0.5
8,10.0,0.824,0.56,0.824,0.824,0.538,0.824,0.579,0.262,0.579
9,11.0,0.778,0.56,0.778,0.778,0.519,0.778,0.6,0.261,0.6
10,12.0,0.882,0.577,0.882,0.833,0.536,0.833,0.684,0.271,0.684
11,13.0,0.889,0.593,0.889,0.889,0.571,0.889,0.737,0.292,0.737
12,14.0,0.944,0.607,0.944,0.944,0.607,0.944,0.789,0.319,0.789
13,15.0,0.947,0.6,0.947,0.947,0.581,0.947,0.842,0.34,0.842
14,16.0,0.95,0.633,0.95,0.95,0.613,0.95,0.85,0.354,0.85
15,17.0,0.947,0.545,0.947,0.947,0.562,0.947,0.9,0.375,0.9
16,18.0,0.955,0.618,0.955,0.955,0.618,0.955,0.905,0.38,0.905
17,19.0,0.952,0.541,0.952,0.952,0.571,0.952,0.952,0.4,0.952
18,20.0,0.955,0.512,0.955,0.955,0.538,0.955,0.913,0.404,0.913
