,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.333,0.333,0.333,0.259,0.233,0.259,0.148,0.067,0.148
1,3.0,0.306,0.455,0.306,0.224,0.393,0.224,0.163,0.138,0.163
2,4.0,0.362,0.548,0.362,0.277,0.406,0.277,0.149,0.156,0.149
3,5.0,0.459,0.68,0.459,0.324,0.4,0.324,0.216,0.182,0.216
4,6.0,0.419,0.565,0.419,0.355,0.524,0.355,0.219,0.184,0.219
5,7.0,0.366,0.536,0.366,0.341,0.636,0.341,0.244,0.303,0.244
6,8.0,0.441,0.536,0.441,0.412,0.583,0.412,0.286,0.25,0.286
7,9.0,0.474,0.6,0.474,0.395,0.577,0.395,0.275,0.275,0.275
8,10.0,0.472,0.586,0.472,0.417,0.625,0.417,0.316,0.293,0.316
9,11.0,0.405,0.517,0.405,0.378,0.56,0.378,0.3,0.273,0.3
10,12.0,0.429,0.5,0.429,0.429,0.577,0.429,0.368,0.35,0.368
11,13.0,0.485,0.516,0.485,0.485,0.533,0.485,0.378,0.333,0.378
12,14.0,0.621,0.621,0.621,0.548,0.607,0.548,0.471,0.348,0.471
13,15.0,0.514,0.528,0.514,0.5,0.514,0.5,0.486,0.378,0.486
14,16.0,0.69,0.571,0.69,0.633,0.543,0.633,0.444,0.291,0.444
15,17.0,0.697,0.622,0.697,0.647,0.629,0.647,0.5,0.353,0.5
16,18.0,0.75,0.6,0.75,0.719,0.605,0.719,0.5,0.38,0.5
17,19.0,0.88,0.611,0.88,0.88,0.611,0.88,0.769,0.417,0.769
18,20.0,0.957,0.647,0.957,0.957,0.647,0.957,0.8,0.4,0.8
