,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.333,0.333,0.333,0.259,0.233,0.259,0.148,0.066,0.148
1,3.0,0.423,0.44,0.423,0.346,0.321,0.346,0.192,0.116,0.192
2,4.0,0.478,0.458,0.478,0.435,0.4,0.435,0.217,0.125,0.217
3,5.0,0.478,0.44,0.478,0.435,0.345,0.435,0.261,0.15,0.261
4,6.0,0.476,0.385,0.476,0.476,0.345,0.476,0.304,0.175,0.304
5,7.0,0.579,0.44,0.579,0.5,0.357,0.5,0.381,0.211,0.381
6,8.0,0.667,0.462,0.667,0.611,0.423,0.611,0.45,0.225,0.45
7,9.0,0.667,0.48,0.667,0.667,0.462,0.667,0.5,0.222,0.5
8,10.0,0.765,0.5,0.765,0.765,0.481,0.765,0.579,0.239,0.579
9,11.0,0.824,0.519,0.824,0.824,0.519,0.824,0.667,0.261,0.667
10,12.0,0.938,0.556,0.938,0.882,0.556,0.882,0.722,0.277,0.722
11,13.0,0.889,0.593,0.889,0.889,0.571,0.889,0.737,0.292,0.737
12,14.0,0.895,0.607,0.895,0.895,0.548,0.895,0.789,0.312,0.789
13,15.0,0.889,0.516,0.889,0.889,0.5,0.889,0.842,0.333,0.842
14,16.0,0.944,0.515,0.944,0.944,0.515,0.944,0.895,0.386,0.895
15,17.0,0.944,0.472,0.944,0.944,0.472,0.944,0.85,0.37,0.85
16,18.0,0.95,0.528,0.95,0.95,0.528,0.95,0.905,0.388,0.905
17,19.0,0.952,0.526,0.952,0.952,0.541,0.952,0.909,0.4,0.909
18,20.0,0.955,0.553,0.955,0.955,0.568,0.955,0.955,0.404,0.955
