,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.187,0.132,0.187,0.121,0.069,0.121,0.021,0.005,0.021
1,3.0,0.197,0.141,0.197,0.121,0.069,0.121,0.025,0.006,0.025
2,4.0,0.221,0.16,0.221,0.145,0.086,0.145,0.032,0.008,0.032
3,5.0,0.249,0.173,0.249,0.152,0.088,0.152,0.042,0.01,0.042
4,6.0,0.267,0.185,0.267,0.169,0.099,0.169,0.044,0.011,0.044
5,7.0,0.289,0.206,0.289,0.196,0.117,0.196,0.051,0.013,0.051
6,8.0,0.295,0.212,0.295,0.199,0.118,0.199,0.052,0.013,0.052
7,9.0,0.299,0.216,0.299,0.198,0.116,0.198,0.056,0.014,0.056
8,10.0,0.307,0.218,0.307,0.199,0.116,0.199,0.059,0.015,0.059
9,11.0,0.316,0.223,0.316,0.204,0.119,0.204,0.062,0.016,0.062
10,12.0,0.317,0.222,0.317,0.205,0.119,0.205,0.067,0.017,0.067
11,13.0,0.321,0.222,0.321,0.211,0.12,0.211,0.07,0.018,0.07
12,14.0,0.33,0.226,0.33,0.217,0.124,0.217,0.072,0.019,0.072
13,15.0,0.334,0.228,0.334,0.22,0.126,0.22,0.075,0.019,0.075
14,16.0,0.341,0.233,0.341,0.226,0.13,0.226,0.075,0.019,0.075
15,17.0,0.345,0.233,0.345,0.232,0.135,0.232,0.078,0.02,0.078
16,18.0,0.346,0.233,0.346,0.233,0.135,0.233,0.081,0.021,0.081
17,19.0,0.346,0.227,0.346,0.232,0.131,0.232,0.084,0.021,0.084
18,20.0,0.345,0.223,0.345,0.236,0.131,0.236,0.084,0.022,0.084
