,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.164,0.112,0.164,0.128,0.074,0.128,0.021,0.005,0.021
1,3.0,0.208,0.15,0.208,0.126,0.072,0.126,0.027,0.007,0.027
2,4.0,0.241,0.175,0.241,0.159,0.095,0.159,0.037,0.009,0.037
3,5.0,0.273,0.19,0.273,0.187,0.116,0.187,0.044,0.011,0.044
4,6.0,0.29,0.211,0.29,0.188,0.115,0.188,0.051,0.013,0.051
5,7.0,0.303,0.219,0.303,0.203,0.122,0.203,0.056,0.014,0.056
6,8.0,0.316,0.228,0.316,0.211,0.125,0.211,0.056,0.014,0.056
7,9.0,0.301,0.214,0.301,0.202,0.117,0.202,0.061,0.016,0.061
8,10.0,0.317,0.228,0.317,0.213,0.124,0.213,0.064,0.016,0.064
9,11.0,0.333,0.239,0.333,0.223,0.13,0.223,0.067,0.018,0.067
10,12.0,0.332,0.234,0.332,0.215,0.126,0.215,0.069,0.019,0.069
11,13.0,0.338,0.236,0.338,0.216,0.122,0.216,0.067,0.017,0.067
12,14.0,0.328,0.223,0.328,0.217,0.122,0.217,0.072,0.019,0.072
13,15.0,0.339,0.231,0.339,0.23,0.131,0.23,0.075,0.02,0.075
14,16.0,0.355,0.238,0.355,0.243,0.142,0.243,0.075,0.02,0.075
15,17.0,0.35,0.235,0.35,0.235,0.136,0.235,0.081,0.021,0.081
16,18.0,0.339,0.217,0.339,0.224,0.125,0.224,0.081,0.021,0.081
17,19.0,0.36,0.232,0.36,0.244,0.136,0.244,0.084,0.022,0.084
18,20.0,0.352,0.223,0.352,0.246,0.135,0.246,0.089,0.024,0.089
