,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.224,0.182,0.224,0.182,0.134,0.182,0.016,0.004,0.016
1,3.0,0.257,0.247,0.257,0.219,0.198,0.219,0.019,0.007,0.019
2,4.0,0.178,0.364,0.178,0.151,0.252,0.151,0.013,0.009,0.013
3,5.0,0.384,0.346,0.384,0.217,0.253,0.217,0.028,0.011,0.028
4,6.0,0.213,0.4,0.213,0.172,0.306,0.172,0.015,0.014,0.015
5,7.0,0.232,0.432,0.232,0.203,0.37,0.203,0.017,0.016,0.017
6,8.0,0.181,0.475,0.181,0.151,0.399,0.151,0.013,0.018,0.013
7,9.0,0.402,0.43,0.402,0.276,0.335,0.276,0.032,0.017,0.032
8,10.0,0.166,0.585,0.166,0.148,0.466,0.148,0.012,0.023,0.012
9,11.0,0.477,0.503,0.477,0.299,0.373,0.299,0.04,0.021,0.04
10,12.0,0.309,0.62,0.309,0.244,0.447,0.244,0.026,0.027,0.026
11,13.0,0.388,0.611,0.388,0.25,0.458,0.25,0.031,0.03,0.031
12,14.0,0.402,0.589,0.402,0.246,0.456,0.246,0.031,0.03,0.031
13,15.0,0.187,0.707,0.187,0.164,0.547,0.164,0.013,0.032,0.013
14,16.0,0.496,0.619,0.496,0.312,0.435,0.312,0.045,0.029,0.045
15,17.0,0.432,0.564,0.432,0.269,0.468,0.269,0.034,0.029,0.034
16,18.0,0.218,0.747,0.218,0.182,0.651,0.182,0.016,0.044,0.016
17,19.0,0.339,0.749,0.339,0.25,0.585,0.25,0.026,0.043,0.026
18,20.0,0.507,0.641,0.507,0.316,0.431,0.316,0.051,0.034,0.051
