,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.189,0.132,0.189,0.146,0.089,0.146,0.021,0.005,0.021
1,3.0,0.22,0.158,0.22,0.144,0.086,0.144,0.03,0.007,0.03
2,4.0,0.225,0.162,0.225,0.145,0.086,0.145,0.032,0.008,0.032
3,5.0,0.24,0.174,0.24,0.164,0.1,0.164,0.035,0.009,0.035
4,6.0,0.251,0.18,0.251,0.176,0.106,0.176,0.044,0.011,0.044
5,7.0,0.294,0.212,0.294,0.2,0.122,0.2,0.053,0.014,0.053
6,8.0,0.302,0.216,0.302,0.204,0.124,0.204,0.056,0.014,0.056
7,9.0,0.304,0.214,0.304,0.209,0.124,0.209,0.059,0.015,0.059
8,10.0,0.314,0.223,0.314,0.21,0.125,0.21,0.066,0.017,0.066
9,11.0,0.33,0.236,0.33,0.223,0.133,0.223,0.069,0.018,0.069
10,12.0,0.339,0.24,0.339,0.232,0.137,0.232,0.071,0.019,0.071
11,13.0,0.357,0.251,0.357,0.23,0.137,0.23,0.072,0.019,0.072
12,14.0,0.357,0.249,0.357,0.229,0.135,0.229,0.074,0.02,0.074
13,15.0,0.366,0.253,0.366,0.24,0.14,0.24,0.077,0.02,0.077
14,16.0,0.367,0.252,0.367,0.24,0.14,0.24,0.08,0.021,0.08
15,17.0,0.378,0.259,0.378,0.244,0.143,0.244,0.083,0.022,0.083
16,18.0,0.377,0.257,0.377,0.244,0.143,0.244,0.083,0.022,0.083
17,19.0,0.387,0.261,0.387,0.251,0.147,0.251,0.086,0.022,0.086
18,20.0,0.39,0.262,0.39,0.254,0.148,0.254,0.088,0.023,0.088
