,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.259,0.233,0.259,0.185,0.156,0.185,0.185,0.156,0.185
1,3.0,0.286,0.242,0.286,0.214,0.171,0.214,0.214,0.133,0.214
2,4.0,0.346,0.265,0.346,0.231,0.158,0.231,0.259,0.156,0.259
3,5.0,0.36,0.257,0.36,0.28,0.179,0.28,0.32,0.19,0.32
4,6.0,0.4,0.286,0.4,0.32,0.205,0.32,0.36,0.209,0.36
5,7.0,0.522,0.364,0.522,0.478,0.314,0.478,0.391,0.17,0.391
6,8.0,0.542,0.394,0.542,0.5,0.343,0.5,0.417,0.185,0.417
7,9.0,0.542,0.382,0.542,0.52,0.342,0.52,0.458,0.204,0.458
8,10.0,0.56,0.438,0.56,0.56,0.389,0.56,0.5,0.218,0.5
9,11.0,0.6,0.455,0.6,0.6,0.405,0.6,0.5,0.194,0.5
10,12.0,0.6,0.441,0.6,0.6,0.395,0.6,0.52,0.206,0.52
11,13.0,0.739,0.531,0.739,0.739,0.5,0.739,0.542,0.203,0.542
12,14.0,0.818,0.545,0.818,0.818,0.514,0.818,0.583,0.209,0.583
13,15.0,0.857,0.514,0.857,0.857,0.5,0.857,0.652,0.227,0.652
14,16.0,0.9,0.529,0.9,0.9,0.514,0.9,0.727,0.239,0.727
15,17.0,0.95,0.543,0.95,0.95,0.543,0.95,0.773,0.262,0.773
16,18.0,0.952,0.526,0.952,0.952,0.571,0.952,0.783,0.273,0.783
17,19.0,0.955,0.512,0.955,0.955,0.553,0.955,0.826,0.288,0.826
18,20.0,0.957,0.5,0.957,0.957,0.537,0.957,0.833,0.299,0.833
