,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.259,0.233,0.259,0.185,0.156,0.185,0.185,0.156,0.185
1,3.0,0.286,0.242,0.286,0.214,0.171,0.214,0.214,0.133,0.214
2,4.0,0.308,0.235,0.308,0.231,0.176,0.231,0.269,0.152,0.269
3,5.0,0.292,0.2,0.292,0.269,0.167,0.269,0.333,0.182,0.333
4,6.0,0.36,0.257,0.36,0.32,0.211,0.32,0.375,0.2,0.375
5,7.0,0.478,0.333,0.478,0.435,0.286,0.435,0.391,0.17,0.391
6,8.0,0.5,0.364,0.5,0.48,0.308,0.48,0.417,0.185,0.417
7,9.0,0.565,0.382,0.565,0.52,0.342,0.52,0.417,0.159,0.417
8,10.0,0.56,0.412,0.56,0.542,0.371,0.542,0.458,0.177,0.458
9,11.0,0.583,0.424,0.583,0.583,0.4,0.583,0.478,0.177,0.478
10,12.0,0.609,0.412,0.609,0.609,0.378,0.609,0.565,0.22,0.565
11,13.0,0.652,0.405,0.652,0.652,0.375,0.652,0.609,0.212,0.609
12,14.0,0.652,0.395,0.652,0.652,0.385,0.652,0.652,0.234,0.652
13,15.0,0.762,0.457,0.762,0.762,0.421,0.762,0.652,0.221,0.652
14,16.0,0.8,0.381,0.8,0.8,0.372,0.8,0.727,0.211,0.727
15,17.0,0.773,0.405,0.773,0.773,0.395,0.773,0.739,0.254,0.739
16,18.0,0.9,0.419,0.9,0.9,0.45,0.9,0.783,0.237,0.783
17,19.0,0.875,0.488,0.875,0.875,0.5,0.875,0.8,0.312,0.8
18,20.0,0.952,0.435,0.952,0.952,0.435,0.952,0.909,0.267,0.909
