,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.259,0.233,0.259,0.185,0.156,0.185,0.185,0.156,0.185
1,3.0,0.289,0.342,0.289,0.178,0.25,0.178,0.182,0.32,0.182
2,4.0,0.288,0.429,0.288,0.192,0.27,0.192,0.196,0.278,0.196
3,5.0,0.264,0.359,0.264,0.189,0.256,0.189,0.17,0.346,0.17
4,6.0,0.304,0.359,0.304,0.196,0.273,0.196,0.196,0.346,0.196
5,7.0,0.357,0.429,0.357,0.19,0.216,0.19,0.238,0.385,0.238
6,8.0,0.305,0.514,0.305,0.186,0.275,0.186,0.237,0.467,0.237
7,9.0,0.395,0.441,0.395,0.237,0.281,0.237,0.263,0.278,0.263
8,10.0,0.3,0.6,0.3,0.16,0.364,0.16,0.208,0.488,0.208
9,11.0,0.321,0.486,0.321,0.193,0.262,0.193,0.232,0.283,0.232
10,12.0,0.327,0.486,0.327,0.196,0.262,0.196,0.232,0.277,0.232
11,13.0,0.315,0.678,0.315,0.197,0.581,0.197,0.18,0.489,0.18
12,14.0,0.343,0.387,0.343,0.25,0.231,0.25,0.297,0.333,0.297
13,15.0,0.382,0.419,0.382,0.257,0.231,0.257,0.286,0.227,0.286
14,16.0,0.394,0.406,0.394,0.286,0.256,0.286,0.314,0.25,0.314
15,17.0,0.394,0.419,0.394,0.273,0.231,0.273,0.303,0.227,0.303
16,18.0,0.394,0.406,0.394,0.286,0.256,0.286,0.314,0.25,0.314
17,19.0,0.406,0.406,0.406,0.312,0.256,0.312,0.344,0.25,0.344
18,20.0,0.412,0.424,0.412,0.297,0.275,0.297,0.324,0.267,0.324
