,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.25,0.219,0.25,0.179,0.147,0.179,0.185,0.116,0.185
1,3.0,0.346,0.31,0.346,0.231,0.2,0.231,0.231,0.14,0.231
2,4.0,0.333,0.286,0.333,0.25,0.207,0.25,0.333,0.182,0.333
3,5.0,0.455,0.345,0.455,0.409,0.333,0.409,0.364,0.182,0.364
4,6.0,0.391,0.273,0.391,0.391,0.281,0.391,0.364,0.182,0.364
5,7.0,0.381,0.222,0.381,0.381,0.211,0.381,0.35,0.117,0.35
6,8.0,0.421,0.25,0.421,0.4,0.242,0.4,0.368,0.111,0.368
7,9.0,0.45,0.29,0.45,0.45,0.29,0.45,0.421,0.143,0.421
8,10.0,0.45,0.257,0.45,0.429,0.257,0.429,0.429,0.143,0.429
9,11.0,0.556,0.294,0.556,0.556,0.303,0.556,0.556,0.179,0.556
10,12.0,0.611,0.289,0.611,0.611,0.297,0.611,0.611,0.157,0.611
11,13.0,0.688,0.324,0.688,0.647,0.289,0.647,0.611,0.159,0.611
12,14.0,0.688,0.333,0.688,0.611,0.289,0.611,0.632,0.203,0.632
13,15.0,0.789,0.366,0.789,0.789,0.341,0.789,0.75,0.203,0.75
14,16.0,0.706,0.353,0.706,0.667,0.308,0.667,0.632,0.185,0.632
15,17.0,0.75,0.357,0.75,0.75,0.375,0.75,0.789,0.214,0.789
16,18.0,0.7,0.341,0.7,0.667,0.333,0.667,0.737,0.209,0.737
17,19.0,0.857,0.391,0.857,0.818,0.391,0.818,0.947,0.346,0.947
18,20.0,0.857,0.409,0.857,0.818,0.4,0.818,0.857,0.243,0.857
