,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.146,0.103,0.146,0.121,0.07,0.121,0.016,0.004,0.016
1,3.0,0.144,0.099,0.144,0.119,0.067,0.119,0.018,0.004,0.018
2,4.0,0.147,0.101,0.147,0.12,0.067,0.12,0.018,0.005,0.018
3,5.0,0.148,0.097,0.148,0.12,0.068,0.12,0.025,0.006,0.025
4,6.0,0.148,0.097,0.148,0.123,0.07,0.123,0.028,0.007,0.028
5,7.0,0.149,0.098,0.149,0.121,0.068,0.121,0.03,0.008,0.03
6,8.0,0.147,0.096,0.147,0.119,0.065,0.119,0.033,0.008,0.033
7,9.0,0.15,0.098,0.15,0.122,0.067,0.122,0.035,0.009,0.035
8,10.0,0.151,0.098,0.151,0.123,0.067,0.123,0.038,0.01,0.038
9,11.0,0.156,0.101,0.156,0.123,0.066,0.123,0.043,0.011,0.043
10,12.0,0.157,0.101,0.157,0.129,0.068,0.129,0.045,0.011,0.045
11,13.0,0.165,0.105,0.165,0.134,0.07,0.134,0.048,0.012,0.048
12,14.0,0.166,0.105,0.166,0.135,0.071,0.135,0.05,0.013,0.05
13,15.0,0.169,0.106,0.169,0.137,0.072,0.137,0.053,0.013,0.053
14,16.0,0.172,0.107,0.172,0.14,0.074,0.14,0.055,0.014,0.055
15,17.0,0.17,0.105,0.17,0.139,0.072,0.139,0.056,0.014,0.056
16,18.0,0.171,0.104,0.171,0.137,0.071,0.137,0.058,0.015,0.058
17,19.0,0.182,0.112,0.182,0.138,0.071,0.138,0.059,0.015,0.059
18,20.0,0.182,0.112,0.182,0.138,0.071,0.138,0.061,0.015,0.061
