,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.146,0.103,0.146,0.121,0.07,0.121,0.016,0.004,0.016
1,3.0,0.156,0.111,0.156,0.121,0.07,0.121,0.018,0.004,0.018
2,4.0,0.143,0.097,0.143,0.12,0.067,0.12,0.021,0.005,0.021
3,5.0,0.148,0.102,0.148,0.118,0.064,0.118,0.025,0.006,0.025
4,6.0,0.155,0.105,0.155,0.123,0.068,0.123,0.032,0.008,0.032
5,7.0,0.165,0.11,0.165,0.13,0.072,0.13,0.035,0.009,0.035
6,8.0,0.159,0.103,0.159,0.124,0.07,0.124,0.04,0.01,0.04
7,9.0,0.167,0.107,0.167,0.129,0.072,0.129,0.037,0.009,0.037
8,10.0,0.167,0.108,0.167,0.123,0.068,0.123,0.045,0.011,0.045
9,11.0,0.168,0.108,0.168,0.135,0.074,0.135,0.043,0.011,0.043
10,12.0,0.176,0.114,0.176,0.133,0.072,0.133,0.045,0.011,0.045
11,13.0,0.165,0.104,0.165,0.139,0.074,0.139,0.052,0.013,0.052
12,14.0,0.185,0.116,0.185,0.149,0.08,0.149,0.05,0.013,0.05
13,15.0,0.198,0.124,0.198,0.138,0.074,0.138,0.058,0.014,0.058
14,16.0,0.174,0.11,0.174,0.131,0.07,0.131,0.065,0.016,0.065
15,17.0,0.175,0.108,0.175,0.134,0.07,0.134,0.058,0.015,0.058
16,18.0,0.206,0.128,0.206,0.135,0.071,0.135,0.063,0.016,0.063
17,19.0,0.187,0.117,0.187,0.142,0.075,0.142,0.063,0.015,0.063
18,20.0,0.185,0.113,0.185,0.143,0.077,0.143,0.064,0.016,0.064
