,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.15,0.105,0.15,0.134,0.078,0.134,0.011,0.003,0.011
1,3.0,0.148,0.138,0.148,0.127,0.099,0.127,0.014,0.005,0.014
2,4.0,0.154,0.121,0.154,0.124,0.078,0.124,0.017,0.005,0.017
3,5.0,0.15,0.233,0.15,0.129,0.174,0.129,0.014,0.009,0.014
4,6.0,0.154,0.285,0.154,0.125,0.191,0.125,0.014,0.01,0.014
5,7.0,0.158,0.33,0.158,0.126,0.262,0.126,0.014,0.012,0.014
6,8.0,0.154,0.321,0.154,0.124,0.26,0.124,0.013,0.012,0.013
7,9.0,0.151,0.338,0.151,0.124,0.245,0.124,0.014,0.014,0.014
8,10.0,0.152,0.413,0.152,0.124,0.304,0.124,0.013,0.017,0.013
9,11.0,0.152,0.439,0.152,0.124,0.329,0.124,0.013,0.02,0.013
10,12.0,0.154,0.431,0.154,0.124,0.353,0.124,0.014,0.019,0.014
11,13.0,0.154,0.422,0.154,0.123,0.344,0.123,0.013,0.019,0.013
12,14.0,0.15,0.441,0.15,0.125,0.333,0.125,0.013,0.021,0.013
13,15.0,0.155,0.471,0.155,0.124,0.386,0.124,0.014,0.023,0.014
14,16.0,0.154,0.493,0.154,0.124,0.413,0.124,0.013,0.024,0.013
15,17.0,0.154,0.506,0.154,0.124,0.428,0.124,0.013,0.027,0.013
16,18.0,0.154,0.47,0.154,0.124,0.389,0.124,0.014,0.024,0.014
17,19.0,0.152,0.543,0.152,0.122,0.459,0.122,0.013,0.03,0.013
18,20.0,0.152,0.547,0.152,0.122,0.473,0.122,0.014,0.032,0.014
