,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.141,0.1,0.141,0.123,0.072,0.123,0.014,0.003,0.014
1,3.0,0.146,0.103,0.146,0.123,0.072,0.123,0.016,0.004,0.016
2,4.0,0.149,0.105,0.149,0.126,0.073,0.126,0.018,0.004,0.018
3,5.0,0.149,0.105,0.149,0.126,0.073,0.126,0.021,0.005,0.021
4,6.0,0.152,0.106,0.152,0.129,0.074,0.129,0.023,0.005,0.023
5,7.0,0.157,0.11,0.157,0.132,0.076,0.132,0.025,0.006,0.025
6,8.0,0.158,0.111,0.158,0.134,0.077,0.134,0.028,0.007,0.028
7,9.0,0.159,0.11,0.159,0.133,0.075,0.133,0.028,0.007,0.028
8,10.0,0.16,0.11,0.16,0.133,0.076,0.133,0.03,0.007,0.03
9,11.0,0.16,0.11,0.16,0.133,0.075,0.133,0.033,0.008,0.033
10,12.0,0.16,0.109,0.16,0.138,0.079,0.138,0.033,0.008,0.033
11,13.0,0.16,0.109,0.16,0.138,0.079,0.138,0.033,0.008,0.033
12,14.0,0.168,0.114,0.168,0.144,0.081,0.144,0.04,0.01,0.04
13,15.0,0.167,0.113,0.167,0.144,0.081,0.144,0.04,0.01,0.04
14,16.0,0.178,0.119,0.178,0.142,0.081,0.142,0.047,0.012,0.047
15,17.0,0.181,0.121,0.181,0.145,0.083,0.145,0.05,0.012,0.05
16,18.0,0.191,0.128,0.191,0.15,0.085,0.15,0.052,0.013,0.052
17,19.0,0.192,0.127,0.192,0.148,0.083,0.148,0.055,0.013,0.055
18,20.0,0.195,0.129,0.195,0.147,0.081,0.147,0.057,0.014,0.057
