,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.25,0.219,0.25,0.179,0.147,0.179,0.179,0.111,0.179
1,3.0,0.346,0.31,0.346,0.269,0.25,0.269,0.222,0.111,0.222
2,4.0,0.37,0.345,0.37,0.296,0.286,0.296,0.25,0.127,0.25
3,5.0,0.407,0.367,0.407,0.333,0.31,0.333,0.286,0.145,0.286
4,6.0,0.407,0.355,0.407,0.333,0.3,0.333,0.321,0.164,0.321
5,7.0,0.4,0.303,0.4,0.32,0.267,0.32,0.385,0.182,0.385
6,8.0,0.478,0.367,0.478,0.391,0.333,0.391,0.4,0.164,0.4
7,9.0,0.5,0.387,0.5,0.417,0.37,0.417,0.44,0.177,0.44
8,10.0,0.545,0.375,0.545,0.455,0.357,0.455,0.478,0.157,0.478
9,11.0,0.591,0.394,0.591,0.5,0.393,0.5,0.5,0.162,0.5
10,12.0,0.65,0.419,0.65,0.571,0.414,0.571,0.545,0.162,0.545
11,13.0,0.7,0.438,0.7,0.65,0.433,0.65,0.619,0.176,0.619
12,14.0,0.714,0.429,0.714,0.667,0.4,0.667,0.636,0.194,0.636
13,15.0,0.727,0.421,0.727,0.682,0.395,0.682,0.682,0.208,0.682
14,16.0,0.773,0.405,0.773,0.727,0.372,0.727,0.727,0.222,0.727
15,17.0,0.857,0.429,0.857,0.81,0.395,0.81,0.81,0.236,0.81
16,18.0,0.905,0.452,0.905,0.857,0.429,0.857,0.857,0.247,0.857
17,19.0,0.909,0.465,0.909,0.864,0.442,0.864,0.864,0.257,0.864
18,20.0,0.913,0.477,0.913,0.87,0.465,0.87,0.87,0.26,0.87
