,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.25,0.219,0.25,0.179,0.147,0.179,0.179,0.111,0.179
1,3.0,0.308,0.276,0.308,0.231,0.2,0.231,0.222,0.133,0.222
2,4.0,0.333,0.31,0.333,0.259,0.233,0.259,0.25,0.152,0.25
3,5.0,0.357,0.312,0.357,0.286,0.235,0.286,0.286,0.174,0.286
4,6.0,0.407,0.355,0.407,0.333,0.3,0.333,0.321,0.164,0.321
5,7.0,0.385,0.312,0.385,0.308,0.235,0.308,0.385,0.222,0.385
6,8.0,0.375,0.265,0.375,0.32,0.211,0.32,0.458,0.25,0.458
7,9.0,0.435,0.27,0.435,0.375,0.225,0.375,0.5,0.244,0.5
8,10.0,0.522,0.353,0.522,0.435,0.303,0.435,0.522,0.19,0.522
9,11.0,0.591,0.394,0.591,0.5,0.367,0.5,0.5,0.162,0.5
10,12.0,0.609,0.389,0.609,0.522,0.343,0.522,0.52,0.181,0.52
11,13.0,0.652,0.405,0.652,0.591,0.361,0.591,0.583,0.194,0.583
12,14.0,0.682,0.405,0.682,0.636,0.378,0.636,0.609,0.189,0.609
13,15.0,0.696,0.4,0.696,0.652,0.375,0.652,0.652,0.203,0.652
14,16.0,0.773,0.405,0.773,0.727,0.372,0.727,0.727,0.219,0.727
15,17.0,0.72,0.409,0.72,0.68,0.378,0.68,0.708,0.224,0.708
16,18.0,0.792,0.422,0.792,0.75,0.391,0.75,0.783,0.237,0.783
17,19.0,0.833,0.435,0.833,0.792,0.413,0.792,0.792,0.241,0.792
18,20.0,0.84,0.447,0.84,0.8,0.426,0.8,0.833,0.26,0.833
