,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.25,0.219,0.25,0.179,0.147,0.179,0.179,0.111,0.179
1,3.0,0.357,0.345,0.357,0.25,0.25,0.25,0.214,0.154,0.214
2,4.0,0.306,0.344,0.306,0.194,0.206,0.194,0.243,0.188,0.243
3,5.0,0.325,0.382,0.325,0.2,0.229,0.2,0.244,0.385,0.244
4,6.0,0.273,0.364,0.273,0.227,0.294,0.227,0.295,0.361,0.295
5,7.0,0.311,0.35,0.311,0.178,0.205,0.178,0.289,0.31,0.289
6,8.0,0.351,0.476,0.351,0.228,0.317,0.228,0.263,0.375,0.263
7,9.0,0.339,0.5,0.339,0.25,0.424,0.25,0.268,0.349,0.268
8,10.0,0.393,0.524,0.393,0.286,0.471,0.286,0.286,0.381,0.286
9,11.0,0.359,0.548,0.359,0.25,0.432,0.25,0.266,0.37,0.266
10,12.0,0.371,0.548,0.371,0.274,0.515,0.274,0.323,0.435,0.323
11,13.0,0.333,0.513,0.333,0.283,0.459,0.283,0.361,0.393,0.361
12,14.0,0.328,0.512,0.328,0.284,0.576,0.284,0.379,0.49,0.379
13,15.0,0.444,0.604,0.444,0.333,0.632,0.333,0.352,0.403,0.352
14,16.0,0.348,0.6,0.348,0.304,0.6,0.304,0.406,0.452,0.406
15,17.0,0.426,0.644,0.426,0.338,0.59,0.338,0.426,0.446,0.426
16,18.0,0.464,0.711,0.464,0.391,0.659,0.391,0.457,0.471,0.457
17,19.0,0.469,0.652,0.469,0.375,0.615,0.375,0.333,0.349,0.333
18,20.0,0.509,0.659,0.509,0.421,0.615,0.421,0.475,0.4,0.475
