,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.25,0.219,0.25,0.179,0.147,0.179,0.179,0.111,0.179
1,3.0,0.346,0.31,0.346,0.269,0.25,0.269,0.222,0.111,0.222
2,4.0,0.417,0.357,0.417,0.292,0.206,0.292,0.36,0.22,0.36
3,5.0,0.409,0.321,0.409,0.318,0.226,0.318,0.348,0.167,0.348
4,6.0,0.429,0.281,0.429,0.381,0.286,0.381,0.364,0.143,0.364
5,7.0,0.474,0.273,0.474,0.421,0.286,0.421,0.348,0.138,0.348
6,8.0,0.556,0.312,0.556,0.444,0.25,0.444,0.429,0.184,0.429
7,9.0,0.556,0.294,0.556,0.5,0.273,0.5,0.429,0.141,0.429
8,10.0,0.579,0.297,0.579,0.476,0.256,0.476,0.476,0.179,0.476
9,11.0,0.55,0.289,0.55,0.524,0.306,0.524,0.5,0.172,0.5
10,12.0,0.706,0.353,0.706,0.667,0.343,0.667,0.6,0.218,0.6
11,13.0,0.684,0.361,0.684,0.65,0.371,0.65,0.591,0.236,0.591
12,14.0,0.7,0.333,0.7,0.667,0.341,0.667,0.7,0.275,0.7
13,15.0,0.714,0.366,0.714,0.714,0.385,0.714,0.652,0.278,0.652
14,16.0,0.889,0.432,0.889,0.842,0.41,0.842,0.762,0.286,0.762
15,17.0,0.81,0.405,0.81,0.773,0.386,0.773,0.739,0.298,0.739
16,18.0,0.857,0.429,0.857,0.818,0.419,0.818,0.783,0.316,0.783
17,19.0,0.857,0.4,0.857,0.818,0.391,0.818,0.857,0.316,0.857
18,20.0,0.909,0.417,0.909,0.909,0.444,0.909,0.909,0.328,0.909
