,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.139,0.098,0.139,0.123,0.072,0.123,0.014,0.003,0.014
1,3.0,0.144,0.102,0.144,0.124,0.072,0.124,0.016,0.004,0.016
2,4.0,0.145,0.102,0.145,0.126,0.074,0.126,0.018,0.005,0.018
3,5.0,0.148,0.104,0.148,0.132,0.078,0.132,0.023,0.006,0.023
4,6.0,0.15,0.105,0.15,0.134,0.08,0.134,0.025,0.006,0.025
5,7.0,0.16,0.113,0.16,0.142,0.085,0.142,0.03,0.008,0.03
6,8.0,0.161,0.113,0.161,0.143,0.085,0.143,0.032,0.008,0.032
7,9.0,0.164,0.115,0.164,0.141,0.082,0.141,0.033,0.008,0.033
8,10.0,0.165,0.114,0.165,0.142,0.082,0.142,0.035,0.009,0.035
9,11.0,0.168,0.115,0.168,0.145,0.083,0.145,0.035,0.009,0.035
10,12.0,0.171,0.111,0.171,0.143,0.08,0.143,0.042,0.01,0.042
11,13.0,0.174,0.112,0.174,0.145,0.08,0.145,0.045,0.011,0.045
12,14.0,0.175,0.112,0.175,0.148,0.083,0.148,0.048,0.012,0.048
13,15.0,0.175,0.112,0.175,0.147,0.081,0.147,0.05,0.012,0.05
14,16.0,0.175,0.112,0.175,0.147,0.081,0.147,0.05,0.012,0.05
15,17.0,0.178,0.113,0.178,0.149,0.083,0.149,0.053,0.013,0.053
16,18.0,0.181,0.115,0.181,0.152,0.084,0.152,0.055,0.013,0.055
17,19.0,0.186,0.119,0.186,0.157,0.088,0.157,0.055,0.013,0.055
18,20.0,0.187,0.119,0.187,0.156,0.085,0.156,0.061,0.015,0.061
