,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.141,0.1,0.141,0.123,0.073,0.123,0.014,0.003,0.014
1,3.0,0.142,0.1,0.142,0.128,0.075,0.128,0.018,0.004,0.018
2,4.0,0.149,0.104,0.149,0.122,0.07,0.122,0.021,0.005,0.021
3,5.0,0.164,0.113,0.164,0.129,0.074,0.129,0.025,0.006,0.025
4,6.0,0.167,0.114,0.167,0.132,0.075,0.132,0.028,0.007,0.028
5,7.0,0.163,0.113,0.163,0.138,0.079,0.138,0.032,0.008,0.032
6,8.0,0.168,0.117,0.168,0.14,0.08,0.14,0.035,0.009,0.035
7,9.0,0.174,0.121,0.174,0.136,0.078,0.136,0.035,0.009,0.035
8,10.0,0.175,0.115,0.175,0.137,0.078,0.137,0.042,0.01,0.042
9,11.0,0.175,0.116,0.175,0.142,0.081,0.142,0.047,0.012,0.047
10,12.0,0.176,0.115,0.176,0.147,0.083,0.147,0.047,0.012,0.047
11,13.0,0.173,0.111,0.173,0.145,0.082,0.145,0.045,0.011,0.045
12,14.0,0.179,0.115,0.179,0.146,0.082,0.146,0.05,0.012,0.05
13,15.0,0.174,0.112,0.174,0.145,0.082,0.145,0.048,0.012,0.048
14,16.0,0.174,0.111,0.174,0.148,0.084,0.148,0.057,0.014,0.057
15,17.0,0.174,0.111,0.174,0.152,0.082,0.152,0.06,0.015,0.06
16,18.0,0.184,0.116,0.184,0.155,0.083,0.155,0.06,0.015,0.06
17,19.0,0.177,0.108,0.177,0.14,0.075,0.14,0.062,0.016,0.062
18,20.0,0.182,0.115,0.182,0.145,0.079,0.145,0.067,0.017,0.067
