,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.139,0.098,0.139,0.123,0.072,0.123,0.011,0.003,0.011
1,3.0,0.152,0.111,0.152,0.132,0.08,0.132,0.018,0.004,0.018
2,4.0,0.162,0.162,0.162,0.145,0.111,0.145,0.018,0.006,0.018
3,5.0,0.149,0.167,0.149,0.134,0.124,0.134,0.017,0.007,0.017
4,6.0,0.161,0.187,0.161,0.145,0.137,0.145,0.021,0.009,0.021
5,7.0,0.158,0.203,0.158,0.142,0.147,0.142,0.02,0.01,0.02
6,8.0,0.164,0.237,0.164,0.145,0.176,0.145,0.019,0.012,0.019
7,9.0,0.159,0.253,0.159,0.144,0.192,0.144,0.02,0.014,0.02
8,10.0,0.161,0.297,0.161,0.145,0.21,0.145,0.021,0.016,0.021
9,11.0,0.165,0.309,0.165,0.141,0.207,0.141,0.021,0.016,0.021
10,12.0,0.165,0.332,0.165,0.141,0.234,0.141,0.021,0.019,0.021
11,13.0,0.165,0.344,0.165,0.143,0.244,0.143,0.022,0.021,0.022
12,14.0,0.167,0.356,0.167,0.139,0.246,0.139,0.022,0.022,0.022
13,15.0,0.161,0.372,0.161,0.144,0.279,0.144,0.022,0.024,0.022
14,16.0,0.168,0.391,0.168,0.143,0.279,0.143,0.023,0.026,0.023
15,17.0,0.167,0.406,0.167,0.147,0.298,0.147,0.023,0.026,0.023
16,18.0,0.164,0.418,0.164,0.147,0.305,0.147,0.023,0.027,0.023
17,19.0,0.166,0.444,0.166,0.142,0.352,0.142,0.022,0.032,0.022
18,20.0,0.163,0.461,0.163,0.144,0.34,0.144,0.022,0.033,0.022
