,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.139,0.098,0.139,0.123,0.072,0.123,0.014,0.003,0.014
1,3.0,0.142,0.1,0.142,0.124,0.072,0.124,0.016,0.004,0.016
2,4.0,0.147,0.103,0.147,0.128,0.075,0.128,0.018,0.005,0.018
3,5.0,0.15,0.105,0.15,0.131,0.077,0.131,0.021,0.005,0.021
4,6.0,0.152,0.106,0.152,0.134,0.078,0.134,0.023,0.006,0.023
5,7.0,0.154,0.107,0.154,0.136,0.079,0.136,0.025,0.006,0.025
6,8.0,0.16,0.112,0.16,0.137,0.08,0.137,0.028,0.007,0.028
7,9.0,0.162,0.114,0.162,0.139,0.081,0.139,0.03,0.007,0.03
8,10.0,0.157,0.108,0.157,0.138,0.079,0.138,0.035,0.008,0.035
9,11.0,0.164,0.112,0.164,0.145,0.083,0.145,0.035,0.008,0.035
10,12.0,0.162,0.111,0.162,0.146,0.083,0.146,0.037,0.009,0.037
11,13.0,0.163,0.111,0.163,0.148,0.085,0.148,0.04,0.01,0.04
12,14.0,0.16,0.109,0.16,0.144,0.082,0.144,0.04,0.009,0.04
13,15.0,0.163,0.111,0.163,0.148,0.085,0.148,0.042,0.01,0.042
14,16.0,0.163,0.111,0.163,0.148,0.085,0.148,0.045,0.011,0.045
15,17.0,0.166,0.112,0.166,0.153,0.088,0.153,0.047,0.011,0.047
16,18.0,0.165,0.113,0.165,0.153,0.087,0.153,0.047,0.011,0.047
17,19.0,0.169,0.113,0.169,0.152,0.086,0.152,0.047,0.011,0.047
18,20.0,0.164,0.111,0.164,0.149,0.085,0.149,0.045,0.011,0.045
