,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.222,0.176,0.222,0.185,0.128,0.185,0.185,0.139,0.185
1,3.0,0.28,0.233,0.28,0.28,0.212,0.28,0.231,0.167,0.231
2,4.0,0.348,0.258,0.348,0.348,0.235,0.348,0.333,0.229,0.333
3,5.0,0.364,0.258,0.364,0.364,0.242,0.364,0.318,0.163,0.318
4,6.0,0.45,0.3,0.45,0.45,0.281,0.45,0.333,0.167,0.333
5,7.0,0.526,0.323,0.526,0.526,0.312,0.526,0.4,0.19,0.4
6,8.0,0.556,0.345,0.556,0.556,0.345,0.556,0.474,0.214,0.474
7,9.0,0.579,0.344,0.579,0.579,0.344,0.579,0.526,0.233,0.526
8,10.0,0.6,0.375,0.6,0.6,0.375,0.6,0.55,0.208,0.55
9,11.0,0.65,0.406,0.65,0.65,0.394,0.65,0.6,0.226,0.6
10,12.0,0.7,0.424,0.7,0.7,0.412,0.7,0.619,0.236,0.619
11,13.0,0.714,0.441,0.714,0.714,0.429,0.714,0.636,0.25,0.636
12,14.0,0.714,0.429,0.714,0.714,0.417,0.714,0.682,0.263,0.682
13,15.0,0.727,0.444,0.727,0.727,0.432,0.727,0.696,0.276,0.696
14,16.0,0.739,0.459,0.739,0.739,0.447,0.739,0.739,0.293,0.739
15,17.0,0.75,0.45,0.75,0.75,0.439,0.75,0.75,0.305,0.75
16,18.0,0.76,0.422,0.76,0.76,0.432,0.76,0.76,0.322,0.76
17,19.0,0.769,0.444,0.769,0.769,0.455,0.769,0.769,0.333,0.769
18,20.0,0.778,0.457,0.778,0.778,0.467,0.778,0.778,0.333,0.778
