,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.222,0.176,0.222,0.185,0.128,0.185,0.185,0.139,0.185
1,3.0,0.222,0.176,0.222,0.185,0.128,0.185,0.185,0.139,0.185
2,4.0,0.222,0.176,0.222,0.185,0.128,0.185,0.185,0.139,0.185
3,5.0,0.222,0.176,0.222,0.185,0.128,0.185,0.185,0.139,0.185
4,6.0,0.222,0.176,0.222,0.185,0.128,0.185,0.185,0.139,0.185
5,7.0,0.222,0.176,0.222,0.185,0.128,0.185,0.185,0.139,0.185
6,8.0,0.222,0.176,0.222,0.185,0.128,0.185,0.185,0.139,0.185
7,9.0,0.222,0.176,0.222,0.185,0.128,0.185,0.185,0.139,0.185
8,10.0,0.222,0.176,0.222,0.185,0.128,0.185,0.185,0.139,0.185
9,11.0,0.222,0.176,0.222,0.185,0.128,0.185,0.185,0.139,0.185
10,12.0,0.222,0.176,0.222,0.185,0.128,0.185,0.185,0.139,0.185
11,13.0,0.222,0.176,0.222,0.185,0.128,0.185,0.185,0.139,0.185
12,14.0,0.222,0.176,0.222,0.185,0.128,0.185,0.185,0.139,0.185
13,15.0,0.222,0.176,0.222,0.185,0.128,0.185,0.185,0.139,0.185
14,16.0,0.222,0.176,0.222,0.185,0.128,0.185,0.185,0.139,0.185
15,17.0,0.222,0.176,0.222,0.185,0.128,0.185,0.185,0.139,0.185
16,18.0,0.257,0.243,0.257,0.2,0.194,0.2,0.167,0.167,0.167
17,19.0,0.244,0.263,0.244,0.195,0.19,0.195,0.171,0.184,0.171
18,20.0,0.21,0.317,0.21,0.177,0.244,0.177,0.177,0.262,0.177
