,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.222,0.176,0.222,0.185,0.128,0.185,0.185,0.139,0.185
1,3.0,0.32,0.276,0.32,0.28,0.212,0.28,0.231,0.167,0.231
2,4.0,0.348,0.258,0.348,0.348,0.235,0.348,0.333,0.229,0.333
3,5.0,0.409,0.29,0.409,0.409,0.265,0.409,0.391,0.257,0.391
4,6.0,0.5,0.345,0.5,0.45,0.257,0.45,0.409,0.265,0.409
5,7.0,0.474,0.3,0.474,0.474,0.281,0.474,0.4,0.186,0.4
6,8.0,0.556,0.312,0.556,0.556,0.303,0.556,0.474,0.214,0.474
7,9.0,0.556,0.294,0.556,0.556,0.294,0.556,0.526,0.192,0.526
8,10.0,0.579,0.324,0.579,0.55,0.314,0.55,0.579,0.212,0.579
9,11.0,0.6,0.364,0.6,0.571,0.343,0.571,0.6,0.222,0.6
10,12.0,0.65,0.382,0.65,0.65,0.371,0.65,0.65,0.236,0.65
11,13.0,0.7,0.412,0.7,0.667,0.389,0.667,0.667,0.25,0.667
12,14.0,0.714,0.429,0.714,0.682,0.405,0.682,0.682,0.263,0.682
13,15.0,0.842,0.41,0.842,0.8,0.432,0.8,0.762,0.291,0.762
14,16.0,0.889,0.471,0.889,0.842,0.457,0.842,0.8,0.262,0.8
15,17.0,1.0,0.486,1.0,0.944,0.472,0.944,0.895,0.288,0.895
16,18.0,1.0,0.474,1.0,0.947,0.474,0.947,0.947,0.295,0.947
17,19.0,1.0,0.487,1.0,0.95,0.5,0.95,0.905,0.271,0.905
18,20.0,1.0,0.513,1.0,0.952,0.526,0.952,0.952,0.317,0.952
