,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.15,0.106,0.15,0.128,0.075,0.128,0.021,0.005,0.021
1,3.0,0.149,0.1,0.149,0.126,0.07,0.126,0.027,0.007,0.027
2,4.0,0.156,0.104,0.156,0.124,0.068,0.124,0.032,0.008,0.032
3,5.0,0.162,0.109,0.162,0.132,0.077,0.132,0.037,0.009,0.037
4,6.0,0.16,0.105,0.16,0.135,0.077,0.135,0.042,0.01,0.042
5,7.0,0.166,0.111,0.166,0.145,0.081,0.145,0.044,0.011,0.044
6,8.0,0.169,0.115,0.169,0.145,0.082,0.145,0.049,0.012,0.049
7,9.0,0.176,0.12,0.176,0.146,0.082,0.146,0.049,0.012,0.049
8,10.0,0.184,0.124,0.184,0.147,0.082,0.147,0.052,0.013,0.052
9,11.0,0.183,0.121,0.183,0.145,0.081,0.145,0.055,0.014,0.055
10,12.0,0.181,0.119,0.181,0.146,0.081,0.146,0.057,0.014,0.057
11,13.0,0.182,0.12,0.182,0.144,0.079,0.144,0.058,0.014,0.058
12,14.0,0.188,0.123,0.188,0.147,0.081,0.147,0.058,0.014,0.058
13,15.0,0.199,0.129,0.199,0.15,0.082,0.15,0.063,0.016,0.063
14,16.0,0.197,0.127,0.197,0.148,0.08,0.148,0.065,0.016,0.065
15,17.0,0.2,0.128,0.2,0.154,0.083,0.154,0.068,0.017,0.068
16,18.0,0.199,0.127,0.199,0.155,0.083,0.155,0.068,0.017,0.068
17,19.0,0.2,0.127,0.2,0.158,0.085,0.158,0.069,0.017,0.069
18,20.0,0.201,0.127,0.201,0.159,0.084,0.159,0.072,0.018,0.072
