,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.15,0.106,0.15,0.128,0.075,0.128,0.021,0.005,0.021
1,3.0,0.149,0.1,0.149,0.126,0.071,0.126,0.027,0.007,0.027
2,4.0,0.154,0.105,0.154,0.133,0.079,0.133,0.034,0.009,0.034
3,5.0,0.157,0.106,0.157,0.129,0.075,0.129,0.037,0.009,0.037
4,6.0,0.158,0.107,0.158,0.125,0.071,0.125,0.039,0.01,0.039
5,7.0,0.161,0.109,0.161,0.14,0.079,0.14,0.042,0.011,0.042
6,8.0,0.183,0.12,0.183,0.133,0.075,0.133,0.044,0.011,0.044
7,9.0,0.184,0.118,0.184,0.129,0.072,0.129,0.054,0.014,0.054
8,10.0,0.182,0.123,0.182,0.142,0.078,0.142,0.054,0.014,0.054
9,11.0,0.171,0.113,0.171,0.135,0.073,0.135,0.055,0.014,0.055
10,12.0,0.189,0.125,0.189,0.141,0.078,0.141,0.06,0.015,0.06
11,13.0,0.197,0.129,0.197,0.146,0.081,0.146,0.06,0.015,0.06
12,14.0,0.19,0.122,0.19,0.145,0.078,0.145,0.062,0.016,0.062
13,15.0,0.191,0.121,0.191,0.155,0.085,0.155,0.058,0.015,0.058
14,16.0,0.182,0.116,0.182,0.15,0.082,0.15,0.061,0.015,0.061
15,17.0,0.2,0.127,0.2,0.161,0.087,0.161,0.066,0.017,0.066
16,18.0,0.204,0.129,0.204,0.16,0.085,0.16,0.076,0.02,0.076
17,19.0,0.197,0.123,0.197,0.16,0.086,0.16,0.069,0.017,0.069
18,20.0,0.203,0.128,0.203,0.163,0.087,0.163,0.072,0.018,0.072
