,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.139,0.097,0.139,0.128,0.074,0.128,0.018,0.004,0.018
1,3.0,0.139,0.097,0.139,0.128,0.074,0.128,0.018,0.004,0.018
2,4.0,0.142,0.162,0.142,0.125,0.122,0.125,0.016,0.007,0.016
3,5.0,0.144,0.216,0.144,0.129,0.191,0.129,0.015,0.009,0.015
4,6.0,0.147,0.295,0.147,0.134,0.27,0.134,0.015,0.013,0.015
5,7.0,0.15,0.375,0.15,0.137,0.302,0.137,0.015,0.016,0.015
6,8.0,0.15,0.371,0.15,0.139,0.305,0.139,0.015,0.016,0.015
7,9.0,0.151,0.437,0.151,0.143,0.363,0.143,0.015,0.021,0.015
8,10.0,0.161,0.452,0.161,0.152,0.379,0.152,0.016,0.023,0.016
9,11.0,0.158,0.462,0.158,0.148,0.391,0.148,0.015,0.023,0.015
10,12.0,0.162,0.451,0.162,0.151,0.384,0.151,0.016,0.024,0.016
11,13.0,0.165,0.543,0.165,0.157,0.448,0.157,0.016,0.031,0.016
12,14.0,0.167,0.505,0.167,0.158,0.429,0.158,0.016,0.028,0.016
13,15.0,0.166,0.591,0.166,0.158,0.488,0.158,0.016,0.036,0.016
14,16.0,0.162,0.55,0.162,0.155,0.446,0.155,0.016,0.032,0.016
15,17.0,0.168,0.562,0.168,0.156,0.464,0.156,0.017,0.033,0.017
16,18.0,0.166,0.618,0.166,0.159,0.524,0.159,0.016,0.041,0.016
17,19.0,0.173,0.594,0.173,0.164,0.505,0.164,0.018,0.04,0.018
18,20.0,0.169,0.611,0.169,0.164,0.521,0.164,0.017,0.04,0.017
