,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.15,0.106,0.15,0.128,0.075,0.128,0.021,0.005,0.021
1,3.0,0.153,0.106,0.153,0.126,0.073,0.126,0.025,0.006,0.025
2,4.0,0.154,0.109,0.154,0.129,0.075,0.129,0.03,0.007,0.03
3,5.0,0.155,0.11,0.155,0.129,0.075,0.129,0.032,0.008,0.032
4,6.0,0.155,0.107,0.155,0.135,0.077,0.135,0.037,0.009,0.037
5,7.0,0.159,0.109,0.159,0.131,0.075,0.131,0.042,0.011,0.042
6,8.0,0.159,0.108,0.159,0.131,0.075,0.131,0.044,0.011,0.044
7,9.0,0.164,0.111,0.164,0.136,0.078,0.136,0.042,0.011,0.042
8,10.0,0.167,0.114,0.167,0.132,0.072,0.132,0.045,0.011,0.045
9,11.0,0.16,0.11,0.16,0.125,0.071,0.125,0.038,0.009,0.038
10,12.0,0.166,0.112,0.166,0.128,0.071,0.128,0.045,0.011,0.045
11,13.0,0.171,0.116,0.171,0.136,0.075,0.136,0.048,0.012,0.048
12,14.0,0.172,0.115,0.172,0.136,0.075,0.136,0.048,0.012,0.048
13,15.0,0.178,0.119,0.178,0.139,0.076,0.139,0.05,0.013,0.05
14,16.0,0.179,0.119,0.179,0.14,0.077,0.14,0.056,0.014,0.056
15,17.0,0.184,0.122,0.184,0.15,0.083,0.15,0.058,0.015,0.058
16,18.0,0.19,0.123,0.19,0.154,0.084,0.154,0.061,0.015,0.061
17,19.0,0.189,0.121,0.189,0.152,0.083,0.152,0.063,0.016,0.063
18,20.0,0.194,0.123,0.194,0.157,0.085,0.157,0.066,0.017,0.066
