,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.222,0.182,0.222,0.185,0.135,0.185,0.222,0.2,0.222
1,3.0,0.28,0.219,0.28,0.24,0.182,0.24,0.24,0.2,0.24
2,4.0,0.348,0.296,0.348,0.304,0.241,0.304,0.261,0.146,0.261
3,5.0,0.333,0.25,0.333,0.286,0.207,0.286,0.286,0.125,0.286
4,6.0,0.35,0.219,0.35,0.3,0.194,0.3,0.3,0.097,0.3
5,7.0,0.421,0.25,0.421,0.368,0.226,0.368,0.35,0.109,0.35
6,8.0,0.5,0.3,0.5,0.444,0.258,0.444,0.4,0.118,0.4
7,9.0,0.588,0.323,0.588,0.529,0.265,0.529,0.474,0.13,0.474
8,10.0,0.688,0.344,0.688,0.625,0.294,0.625,0.526,0.141,0.526
9,11.0,0.706,0.375,0.706,0.647,0.324,0.647,0.55,0.153,0.55
10,12.0,0.765,0.406,0.765,0.706,0.353,0.706,0.6,0.167,0.6
11,13.0,0.778,0.424,0.778,0.722,0.382,0.722,0.619,0.186,0.619
12,14.0,0.789,0.441,0.789,0.737,0.4,0.737,0.667,0.197,0.667
13,15.0,0.8,0.457,0.8,0.75,0.429,0.75,0.714,0.208,0.714
14,16.0,0.85,0.486,0.85,0.8,0.457,0.8,0.727,0.213,0.727
15,17.0,0.947,0.514,0.947,0.895,0.486,0.895,0.81,0.224,0.81
16,18.0,0.947,0.5,0.947,0.9,0.5,0.9,0.857,0.237,0.857
17,19.0,0.95,0.487,0.95,0.905,0.487,0.905,0.864,0.235,0.864
18,20.0,0.952,0.476,0.952,0.952,0.5,0.952,0.909,0.25,0.909
