,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.222,0.182,0.222,0.185,0.135,0.185,0.222,0.2,0.222
1,3.0,0.36,0.321,0.36,0.28,0.233,0.28,0.24,0.15,0.24
2,4.0,0.391,0.281,0.391,0.304,0.212,0.304,0.261,0.146,0.261
3,5.0,0.318,0.25,0.318,0.304,0.212,0.304,0.364,0.222,0.364
4,6.0,0.4,0.25,0.4,0.3,0.182,0.3,0.286,0.094,0.286
5,7.0,0.5,0.3,0.5,0.444,0.276,0.444,0.421,0.186,0.421
6,8.0,0.579,0.355,0.579,0.474,0.265,0.474,0.474,0.188,0.474
7,9.0,0.588,0.323,0.588,0.529,0.265,0.529,0.474,0.136,0.474
8,10.0,0.765,0.448,0.765,0.611,0.314,0.611,0.5,0.149,0.5
9,11.0,0.667,0.343,0.667,0.611,0.324,0.611,0.611,0.172,0.611
10,12.0,0.722,0.382,0.722,0.667,0.364,0.667,0.632,0.188,0.632
11,13.0,0.938,0.441,0.938,0.875,0.424,0.875,0.684,0.2,0.684
12,14.0,0.778,0.4,0.778,0.778,0.389,0.778,0.778,0.194,0.778
13,15.0,0.895,0.425,0.895,0.889,0.41,0.889,0.789,0.211,0.789
14,16.0,0.9,0.45,0.9,0.895,0.447,0.895,0.762,0.225,0.762
15,17.0,0.95,0.487,0.95,0.9,0.474,0.9,0.81,0.236,0.81
16,18.0,0.905,0.463,0.905,0.9,0.45,0.9,0.857,0.234,0.857
17,19.0,1.0,0.476,1.0,1.0,0.488,1.0,0.864,0.25,0.864
18,20.0,0.955,0.457,0.955,0.955,0.488,0.955,0.87,0.263,0.87
