,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.216,0.258,0.216,0.216,0.25,0.216,0.189,0.304,0.189
1,3.0,0.229,0.216,0.229,0.143,0.147,0.143,0.171,0.128,0.171
2,4.0,0.2,0.35,0.2,0.171,0.364,0.171,0.186,0.448,0.186
3,5.0,0.187,0.412,0.187,0.173,0.325,0.173,0.187,0.583,0.187
4,6.0,0.198,0.425,0.198,0.151,0.289,0.151,0.174,0.417,0.174
5,7.0,0.21,0.568,0.21,0.16,0.4,0.16,0.17,0.415,0.17
6,8.0,0.194,0.5,0.194,0.167,0.419,0.167,0.194,0.724,0.194
7,9.0,0.358,0.487,0.358,0.302,0.348,0.302,0.226,0.255,0.226
8,10.0,0.192,0.571,0.192,0.168,0.467,0.168,0.168,0.677,0.168
9,11.0,0.352,0.475,0.352,0.296,0.381,0.296,0.241,0.271,0.241
10,12.0,0.248,0.591,0.248,0.181,0.5,0.181,0.171,0.346,0.171
11,13.0,0.324,0.575,0.324,0.264,0.452,0.264,0.211,0.312,0.211
12,14.0,0.291,0.577,0.291,0.212,0.595,0.212,0.202,0.389,0.202
13,15.0,0.209,0.803,0.209,0.166,0.661,0.166,0.174,0.804,0.174
14,16.0,0.411,0.561,0.411,0.357,0.417,0.357,0.259,0.294,0.259
15,17.0,0.313,0.512,0.313,0.269,0.429,0.269,0.239,0.308,0.239
16,18.0,0.215,0.786,0.215,0.18,0.807,0.18,0.172,0.815,0.172
17,19.0,0.33,0.627,0.33,0.258,0.49,0.258,0.224,0.355,0.224
18,20.0,0.343,0.712,0.343,0.269,0.58,0.269,0.229,0.417,0.229
