,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.222,0.182,0.222,0.185,0.135,0.185,0.222,0.2,0.222
1,3.0,0.28,0.219,0.28,0.2,0.143,0.2,0.2,0.122,0.2
2,4.0,0.391,0.333,0.391,0.304,0.226,0.304,0.261,0.14,0.261
3,5.0,0.333,0.219,0.333,0.273,0.167,0.273,0.286,0.122,0.286
4,6.0,0.368,0.233,0.368,0.35,0.206,0.35,0.316,0.109,0.316
5,7.0,0.474,0.273,0.474,0.421,0.267,0.421,0.4,0.151,0.4
6,8.0,0.5,0.321,0.5,0.444,0.25,0.444,0.444,0.14,0.444
7,9.0,0.647,0.393,0.647,0.625,0.333,0.625,0.556,0.192,0.556
8,10.0,0.647,0.367,0.647,0.588,0.294,0.588,0.588,0.169,0.588
9,11.0,0.75,0.387,0.75,0.688,0.314,0.688,0.611,0.157,0.611
10,12.0,0.75,0.387,0.75,0.688,0.314,0.688,0.579,0.159,0.579
11,13.0,0.824,0.438,0.824,0.765,0.371,0.765,0.722,0.194,0.722
12,14.0,0.778,0.389,0.778,0.737,0.368,0.737,0.778,0.215,0.778
13,15.0,0.889,0.485,0.889,0.833,0.417,0.833,0.789,0.2,0.789
14,16.0,0.941,0.485,0.941,0.882,0.417,0.882,0.833,0.214,0.833
15,17.0,0.947,0.514,0.947,0.895,0.472,0.895,0.81,0.218,0.81
16,18.0,0.95,0.463,0.95,0.947,0.45,0.947,0.818,0.225,0.818
17,19.0,0.944,0.459,0.944,0.895,0.472,0.895,0.773,0.224,0.773
18,20.0,0.9,0.462,0.9,0.9,0.474,0.9,0.857,0.237,0.857
