,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.155,0.11,0.155,0.137,0.082,0.137,0.018,0.004,0.018
1,3.0,0.158,0.111,0.158,0.135,0.08,0.135,0.018,0.004,0.018
2,4.0,0.156,0.108,0.156,0.136,0.079,0.136,0.025,0.006,0.025
3,5.0,0.157,0.107,0.157,0.136,0.078,0.136,0.03,0.008,0.03
4,6.0,0.158,0.104,0.158,0.142,0.081,0.142,0.035,0.009,0.035
5,7.0,0.156,0.103,0.156,0.145,0.082,0.145,0.04,0.01,0.04
6,8.0,0.164,0.108,0.164,0.148,0.085,0.148,0.042,0.011,0.042
7,9.0,0.167,0.111,0.167,0.146,0.083,0.146,0.045,0.012,0.045
8,10.0,0.173,0.115,0.173,0.144,0.082,0.144,0.047,0.012,0.047
9,11.0,0.181,0.118,0.181,0.143,0.08,0.143,0.052,0.014,0.052
10,12.0,0.179,0.115,0.179,0.141,0.078,0.141,0.055,0.014,0.055
11,13.0,0.182,0.114,0.182,0.139,0.076,0.139,0.06,0.016,0.06
12,14.0,0.188,0.117,0.188,0.14,0.076,0.14,0.062,0.017,0.062
13,15.0,0.189,0.119,0.189,0.14,0.076,0.14,0.065,0.017,0.065
14,16.0,0.195,0.122,0.195,0.141,0.077,0.141,0.068,0.018,0.068
15,17.0,0.196,0.121,0.196,0.147,0.079,0.147,0.068,0.018,0.068
16,18.0,0.194,0.12,0.194,0.15,0.081,0.15,0.071,0.019,0.071
17,19.0,0.198,0.122,0.198,0.153,0.082,0.153,0.074,0.019,0.074
18,20.0,0.201,0.123,0.201,0.153,0.082,0.153,0.076,0.02,0.076
