,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.155,0.11,0.155,0.139,0.083,0.139,0.018,0.004,0.018
1,3.0,0.153,0.108,0.153,0.135,0.079,0.135,0.018,0.004,0.018
2,4.0,0.163,0.118,0.163,0.14,0.083,0.14,0.023,0.006,0.023
3,5.0,0.152,0.106,0.152,0.148,0.086,0.148,0.03,0.008,0.03
4,6.0,0.165,0.11,0.165,0.146,0.085,0.146,0.037,0.009,0.037
5,7.0,0.161,0.111,0.161,0.142,0.08,0.142,0.033,0.008,0.033
6,8.0,0.171,0.114,0.171,0.141,0.078,0.141,0.044,0.012,0.044
7,9.0,0.174,0.119,0.174,0.153,0.088,0.153,0.045,0.011,0.045
8,10.0,0.168,0.111,0.168,0.147,0.08,0.147,0.047,0.012,0.047
9,11.0,0.173,0.114,0.173,0.145,0.08,0.145,0.048,0.012,0.048
10,12.0,0.169,0.115,0.169,0.141,0.078,0.141,0.05,0.013,0.05
11,13.0,0.182,0.12,0.182,0.144,0.08,0.144,0.055,0.014,0.055
12,14.0,0.181,0.119,0.181,0.149,0.082,0.149,0.055,0.014,0.055
13,15.0,0.177,0.114,0.177,0.143,0.077,0.143,0.051,0.013,0.051
14,16.0,0.184,0.116,0.184,0.155,0.083,0.155,0.058,0.015,0.058
15,17.0,0.188,0.117,0.188,0.149,0.08,0.149,0.059,0.015,0.059
16,18.0,0.184,0.115,0.184,0.135,0.071,0.135,0.063,0.016,0.063
17,19.0,0.197,0.126,0.197,0.157,0.085,0.157,0.071,0.018,0.071
18,20.0,0.183,0.112,0.183,0.143,0.075,0.143,0.072,0.018,0.072
