,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.3,0.023,0.3,0.3,0.019,0.3,0.08,0.002,0.08
1,3.0,1.0,0.004,1.0,1.0,0.004,1.0,1.0,0.002,1.0
2,4.0,1.0,0.006,1.0,1.0,0.005,1.0,1.0,0.002,1.0
3,5.0,0.314,0.024,0.314,0.314,0.02,0.314,0.098,0.003,0.098
4,6.0,0.137,0.234,0.137,0.122,0.18,0.122,0.01,0.006,0.01
5,7.0,0.138,0.304,0.138,0.125,0.214,0.125,0.01,0.009,0.01
6,8.0,1.0,0.01,1.0,1.0,0.009,1.0,1.0,0.004,1.0
7,9.0,1.0,0.012,1.0,1.0,0.01,1.0,1.0,0.004,1.0
8,10.0,1.0,0.012,1.0,1.0,0.01,1.0,1.0,0.004,1.0
9,11.0,0.136,0.096,0.136,0.122,0.072,0.122,0.009,0.002,0.009
10,12.0,0.364,0.036,0.364,0.318,0.027,0.318,0.149,0.005,0.149
11,13.0,1.0,0.015,1.0,1.0,0.012,1.0,1.0,0.005,1.0
12,14.0,0.36,0.027,0.36,0.36,0.023,0.36,0.16,0.004,0.16
13,15.0,0.138,0.176,0.138,0.122,0.132,0.122,0.009,0.004,0.009
14,16.0,1.0,0.012,1.0,1.0,0.01,1.0,1.0,0.004,1.0
15,17.0,1.0,0.015,1.0,1.0,0.012,1.0,1.0,0.005,1.0
16,18.0,0.138,0.336,0.138,0.121,0.264,0.121,0.01,0.011,0.01
17,19.0,0.249,0.132,0.249,0.229,0.104,0.229,0.075,0.016,0.075
18,20.0,1.0,0.019,1.0,1.0,0.016,1.0,1.0,0.007,1.0
