,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.155,0.11,0.155,0.139,0.083,0.139,0.018,0.004,0.018
1,3.0,0.16,0.114,0.16,0.137,0.082,0.137,0.021,0.005,0.021
2,4.0,0.161,0.115,0.161,0.133,0.078,0.133,0.021,0.005,0.021
3,5.0,0.157,0.106,0.157,0.134,0.077,0.134,0.028,0.007,0.028
4,6.0,0.16,0.11,0.16,0.137,0.079,0.137,0.03,0.008,0.03
5,7.0,0.161,0.108,0.161,0.149,0.088,0.149,0.035,0.009,0.035
6,8.0,0.162,0.106,0.162,0.15,0.084,0.15,0.04,0.01,0.04
7,9.0,0.165,0.11,0.165,0.153,0.087,0.153,0.042,0.011,0.042
8,10.0,0.18,0.121,0.18,0.149,0.083,0.149,0.052,0.013,0.052
9,11.0,0.183,0.125,0.183,0.147,0.081,0.147,0.055,0.014,0.055
10,12.0,0.19,0.128,0.19,0.147,0.081,0.147,0.057,0.015,0.057
11,13.0,0.196,0.132,0.196,0.15,0.082,0.15,0.06,0.015,0.06
12,14.0,0.197,0.131,0.197,0.151,0.085,0.151,0.062,0.016,0.062
13,15.0,0.2,0.132,0.2,0.147,0.08,0.147,0.062,0.016,0.062
14,16.0,0.199,0.131,0.199,0.147,0.081,0.147,0.068,0.017,0.068
15,17.0,0.207,0.135,0.207,0.155,0.085,0.155,0.068,0.017,0.068
16,18.0,0.198,0.128,0.198,0.151,0.079,0.151,0.061,0.016,0.061
17,19.0,0.196,0.126,0.196,0.149,0.081,0.149,0.064,0.016,0.064
18,20.0,0.202,0.128,0.202,0.158,0.084,0.158,0.064,0.017,0.064
