,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.296,0.296,0.296,0.259,0.233,0.259,0.222,0.162,0.222
1,3.0,0.4,0.4,0.4,0.36,0.321,0.36,0.2,0.119,0.2
2,4.0,0.5,0.545,0.5,0.458,0.5,0.458,0.292,0.2,0.292
3,5.0,0.522,0.522,0.522,0.478,0.478,0.478,0.348,0.229,0.348
4,6.0,0.545,0.5,0.545,0.5,0.44,0.5,0.364,0.216,0.364
5,7.0,0.55,0.478,0.55,0.55,0.44,0.55,0.381,0.205,0.381
6,8.0,0.632,0.5,0.632,0.632,0.48,0.632,0.45,0.225,0.45
7,9.0,0.684,0.52,0.684,0.684,0.5,0.684,0.5,0.227,0.5
8,10.0,0.778,0.538,0.778,0.778,0.519,0.778,0.579,0.256,0.579
9,11.0,0.833,0.556,0.833,0.824,0.5,0.824,0.667,0.279,0.667
10,12.0,0.842,0.571,0.842,0.833,0.536,0.833,0.722,0.295,0.722
11,13.0,0.85,0.607,0.85,0.842,0.571,0.842,0.737,0.311,0.737
12,14.0,0.9,0.621,0.9,0.895,0.586,0.895,0.789,0.333,0.789
13,15.0,0.905,0.655,0.905,0.9,0.621,0.9,0.8,0.348,0.8
14,16.0,0.909,0.667,0.909,0.905,0.655,0.905,0.81,0.362,0.81
15,17.0,0.913,0.677,0.913,0.909,0.69,0.909,0.818,0.375,0.818
16,18.0,0.957,0.71,0.957,0.955,0.724,0.955,0.864,0.396,0.864
17,19.0,0.957,0.647,0.957,0.957,0.688,0.957,0.909,0.408,0.909
18,20.0,1.0,0.657,1.0,1.0,0.697,1.0,0.955,0.42,0.955
