,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.333,0.333,0.333,0.259,0.233,0.259,0.185,0.104,0.185
1,3.0,0.294,0.4,0.294,0.294,0.357,0.294,0.206,0.117,0.206
2,4.0,0.389,0.636,0.389,0.333,0.462,0.333,0.194,0.156,0.194
3,5.0,0.359,0.56,0.359,0.359,0.56,0.359,0.231,0.25,0.231
4,6.0,0.412,0.5,0.412,0.353,0.429,0.353,0.257,0.243,0.257
5,7.0,0.417,0.517,0.417,0.389,0.636,0.389,0.27,0.278,0.27
6,8.0,0.409,0.581,0.409,0.318,0.7,0.318,0.244,0.297,0.244
7,9.0,0.436,0.586,0.436,0.41,0.667,0.41,0.275,0.262,0.275
8,10.0,0.45,0.6,0.45,0.45,0.72,0.45,0.293,0.279,0.293
9,11.0,0.5,0.625,0.5,0.475,0.704,0.475,0.317,0.302,0.317
10,12.0,0.487,0.704,0.487,0.436,0.739,0.436,0.341,0.304,0.341
11,13.0,0.541,0.69,0.541,0.514,0.679,0.514,0.341,0.292,0.341
12,14.0,0.583,0.7,0.583,0.528,0.704,0.528,0.41,0.348,0.41
13,15.0,0.6,0.7,0.6,0.571,0.741,0.571,0.41,0.327,0.41
14,16.0,0.561,0.742,0.561,0.537,0.733,0.537,0.37,0.354,0.37
15,17.0,0.84,0.6,0.84,0.741,0.606,0.741,0.613,0.404,0.613
16,18.0,0.688,0.611,0.688,0.688,0.595,0.688,0.594,0.388,0.594
17,19.0,0.833,0.658,0.833,0.774,0.6,0.774,0.606,0.4,0.606
18,20.0,0.96,0.615,0.96,0.96,0.686,0.96,0.808,0.404,0.808
