,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.333,0.333,0.333,0.259,0.233,0.259,0.148,0.066,0.148
1,3.0,0.423,0.44,0.423,0.346,0.321,0.346,0.192,0.116,0.192
2,4.0,0.5,0.545,0.5,0.458,0.5,0.458,0.25,0.158,0.25
3,5.0,0.5,0.478,0.5,0.435,0.417,0.435,0.318,0.184,0.318
4,6.0,0.524,0.5,0.524,0.524,0.478,0.524,0.364,0.216,0.364
5,7.0,0.55,0.478,0.55,0.55,0.44,0.55,0.381,0.205,0.381
6,8.0,0.6,0.5,0.6,0.6,0.462,0.6,0.429,0.205,0.429
7,9.0,0.65,0.52,0.65,0.632,0.444,0.632,0.5,0.227,0.5
8,10.0,0.737,0.538,0.737,0.722,0.481,0.722,0.579,0.25,0.579
9,11.0,0.833,0.556,0.833,0.824,0.5,0.824,0.667,0.279,0.667
10,12.0,0.842,0.571,0.842,0.833,0.536,0.833,0.722,0.295,0.722
11,13.0,0.895,0.63,0.895,0.889,0.593,0.889,0.778,0.304,0.778
12,14.0,0.947,0.643,0.947,0.944,0.607,0.944,0.833,0.326,0.833
13,15.0,0.95,0.633,0.95,0.947,0.621,0.947,0.842,0.348,0.842
14,16.0,0.947,0.545,0.947,0.947,0.6,0.947,0.842,0.348,0.842
15,17.0,0.952,0.588,0.952,0.952,0.606,0.952,0.9,0.375,0.9
16,18.0,1.0,0.588,1.0,1.0,0.606,1.0,0.947,0.383,0.947
17,19.0,1.0,0.647,1.0,1.0,0.667,1.0,0.952,0.408,0.952
18,20.0,1.0,0.629,1.0,1.0,0.647,1.0,0.952,0.4,0.952
