,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.169,0.123,0.169,0.132,0.078,0.132,0.021,0.005,0.021
1,3.0,0.199,0.144,0.199,0.13,0.075,0.13,0.025,0.006,0.025
2,4.0,0.211,0.152,0.211,0.143,0.085,0.143,0.032,0.008,0.032
3,5.0,0.233,0.161,0.233,0.155,0.089,0.155,0.039,0.01,0.039
4,6.0,0.255,0.177,0.255,0.176,0.104,0.176,0.044,0.011,0.044
5,7.0,0.277,0.203,0.277,0.196,0.115,0.196,0.051,0.013,0.051
6,8.0,0.29,0.212,0.29,0.204,0.121,0.204,0.056,0.015,0.056
7,9.0,0.311,0.226,0.311,0.219,0.13,0.219,0.059,0.015,0.059
8,10.0,0.317,0.223,0.317,0.22,0.128,0.22,0.061,0.016,0.061
9,11.0,0.321,0.222,0.321,0.219,0.127,0.219,0.067,0.018,0.067
10,12.0,0.332,0.23,0.332,0.232,0.135,0.232,0.069,0.018,0.069
11,13.0,0.341,0.234,0.341,0.233,0.135,0.233,0.072,0.019,0.072
12,14.0,0.345,0.235,0.345,0.234,0.136,0.234,0.072,0.019,0.072
13,15.0,0.346,0.234,0.346,0.235,0.136,0.235,0.075,0.02,0.075
14,16.0,0.35,0.236,0.35,0.238,0.137,0.238,0.077,0.02,0.077
15,17.0,0.349,0.23,0.349,0.237,0.136,0.237,0.08,0.021,0.08
16,18.0,0.353,0.228,0.353,0.238,0.135,0.238,0.083,0.022,0.083
17,19.0,0.357,0.229,0.357,0.241,0.136,0.241,0.088,0.023,0.088
18,20.0,0.359,0.229,0.359,0.243,0.136,0.243,0.091,0.024,0.091
