,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.171,0.125,0.171,0.132,0.078,0.132,0.021,0.005,0.021
1,3.0,0.211,0.153,0.211,0.13,0.075,0.13,0.025,0.006,0.025
2,4.0,0.225,0.163,0.225,0.145,0.086,0.145,0.032,0.008,0.032
3,5.0,0.263,0.183,0.263,0.178,0.109,0.178,0.039,0.01,0.039
4,6.0,0.276,0.193,0.276,0.183,0.109,0.183,0.044,0.011,0.044
5,7.0,0.291,0.209,0.291,0.193,0.114,0.193,0.051,0.013,0.051
6,8.0,0.295,0.206,0.295,0.199,0.119,0.199,0.054,0.014,0.054
7,9.0,0.318,0.223,0.318,0.216,0.13,0.216,0.056,0.015,0.056
8,10.0,0.312,0.222,0.312,0.206,0.122,0.206,0.057,0.015,0.057
9,11.0,0.33,0.231,0.33,0.221,0.129,0.221,0.062,0.016,0.062
10,12.0,0.325,0.224,0.325,0.208,0.12,0.208,0.062,0.016,0.062
11,13.0,0.329,0.226,0.329,0.213,0.125,0.213,0.067,0.018,0.067
12,14.0,0.347,0.235,0.347,0.229,0.134,0.229,0.07,0.018,0.07
13,15.0,0.339,0.227,0.339,0.227,0.129,0.227,0.067,0.017,0.067
14,16.0,0.348,0.23,0.348,0.228,0.132,0.228,0.078,0.02,0.078
15,17.0,0.345,0.225,0.345,0.229,0.132,0.229,0.076,0.02,0.076
16,18.0,0.344,0.224,0.344,0.23,0.129,0.23,0.081,0.021,0.081
17,19.0,0.343,0.218,0.343,0.229,0.127,0.229,0.084,0.022,0.084
18,20.0,0.342,0.216,0.342,0.23,0.128,0.23,0.086,0.023,0.086
