,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.293,0.169,0.293,0.169,0.082,0.169,0.022,0.004,0.022
1,3.0,0.306,0.244,0.306,0.177,0.127,0.177,0.022,0.007,0.022
2,4.0,0.193,0.312,0.193,0.16,0.249,0.16,0.014,0.009,0.014
3,5.0,0.204,0.354,0.204,0.175,0.291,0.175,0.015,0.011,0.015
4,6.0,0.201,0.398,0.201,0.182,0.344,0.182,0.015,0.014,0.015
5,7.0,0.229,0.433,0.229,0.18,0.362,0.18,0.017,0.017,0.017
6,8.0,0.172,0.492,0.172,0.151,0.372,0.151,0.012,0.016,0.012
7,9.0,0.421,0.39,0.421,0.204,0.209,0.204,0.034,0.014,0.034
8,10.0,0.161,0.589,0.161,0.138,0.455,0.138,0.011,0.023,0.011
9,11.0,0.469,0.428,0.469,0.24,0.237,0.24,0.042,0.019,0.042
10,12.0,0.313,0.597,0.313,0.218,0.439,0.218,0.025,0.028,0.025
11,13.0,0.334,0.563,0.334,0.227,0.465,0.227,0.025,0.029,0.025
12,14.0,0.383,0.693,0.383,0.252,0.51,0.252,0.03,0.034,0.03
13,15.0,0.18,0.672,0.18,0.158,0.578,0.158,0.013,0.037,0.013
14,16.0,0.57,0.438,0.57,0.229,0.203,0.229,0.056,0.023,0.056
15,17.0,0.376,0.664,0.376,0.233,0.544,0.233,0.029,0.037,0.029
16,18.0,0.218,0.71,0.218,0.18,0.607,0.18,0.016,0.045,0.016
17,19.0,0.378,0.718,0.378,0.264,0.538,0.264,0.031,0.041,0.031
18,20.0,0.155,0.559,0.155,0.136,0.437,0.136,0.011,0.02,0.011
