,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.185,0.131,0.185,0.121,0.069,0.121,0.018,0.004,0.018
1,3.0,0.206,0.147,0.206,0.142,0.084,0.142,0.021,0.005,0.021
2,4.0,0.241,0.177,0.241,0.163,0.097,0.163,0.03,0.007,0.03
3,5.0,0.261,0.19,0.261,0.185,0.112,0.185,0.039,0.01,0.039
4,6.0,0.262,0.19,0.262,0.188,0.113,0.188,0.042,0.011,0.042
5,7.0,0.291,0.21,0.291,0.193,0.118,0.193,0.049,0.013,0.049
6,8.0,0.304,0.219,0.304,0.206,0.126,0.206,0.054,0.014,0.054
7,9.0,0.319,0.226,0.319,0.221,0.132,0.221,0.061,0.016,0.061
8,10.0,0.318,0.222,0.318,0.219,0.13,0.219,0.064,0.017,0.064
9,11.0,0.332,0.234,0.332,0.23,0.135,0.23,0.066,0.017,0.066
10,12.0,0.333,0.234,0.333,0.231,0.135,0.231,0.069,0.018,0.069
11,13.0,0.335,0.233,0.335,0.232,0.134,0.232,0.071,0.019,0.071
12,14.0,0.346,0.241,0.346,0.238,0.137,0.238,0.074,0.019,0.074
13,15.0,0.345,0.239,0.345,0.237,0.135,0.237,0.075,0.019,0.075
14,16.0,0.346,0.238,0.346,0.237,0.134,0.237,0.075,0.019,0.075
15,17.0,0.353,0.235,0.353,0.236,0.134,0.236,0.077,0.02,0.077
16,18.0,0.351,0.233,0.351,0.237,0.134,0.237,0.078,0.02,0.078
17,19.0,0.36,0.237,0.36,0.243,0.138,0.243,0.08,0.021,0.08
18,20.0,0.367,0.242,0.367,0.249,0.141,0.249,0.083,0.021,0.083
