,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.25,0.219,0.25,0.143,0.093,0.143,0.185,0.132,0.185
1,3.0,0.269,0.206,0.269,0.192,0.125,0.192,0.2,0.104,0.2
2,4.0,0.25,0.171,0.25,0.208,0.122,0.208,0.261,0.133,0.261
3,5.0,0.304,0.206,0.304,0.261,0.158,0.261,0.304,0.152,0.304
4,6.0,0.364,0.235,0.364,0.318,0.184,0.318,0.364,0.174,0.364
5,7.0,0.4,0.25,0.4,0.35,0.206,0.35,0.4,0.145,0.4
6,8.0,0.45,0.273,0.45,0.4,0.229,0.4,0.45,0.158,0.45
7,9.0,0.526,0.294,0.526,0.474,0.25,0.474,0.526,0.175,0.526
8,10.0,0.611,0.314,0.611,0.556,0.27,0.556,0.611,0.193,0.611
9,11.0,0.706,0.333,0.706,0.647,0.289,0.647,0.706,0.222,0.706
10,12.0,0.765,0.351,0.765,0.706,0.316,0.706,0.765,0.236,0.765
11,13.0,0.824,0.412,0.824,0.812,0.371,0.812,0.812,0.224,0.812
12,14.0,0.833,0.429,0.833,0.824,0.4,0.824,0.824,0.237,0.824
13,15.0,0.941,0.444,0.941,0.938,0.429,0.938,0.938,0.25,0.938
14,16.0,0.944,0.459,0.944,0.941,0.457,0.941,0.941,0.276,0.941
15,17.0,0.947,0.45,0.947,0.944,0.447,0.944,0.944,0.288,0.944
16,18.0,0.947,0.439,0.947,0.947,0.439,0.947,0.947,0.305,0.947
17,19.0,1.0,0.452,1.0,1.0,0.452,1.0,0.95,0.317,0.95
18,20.0,1.0,0.476,1.0,1.0,0.476,1.0,0.952,0.328,0.952
