,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.259,0.233,0.259,0.185,0.128,0.185,0.222,0.194,0.222
1,3.0,0.28,0.259,0.28,0.2,0.152,0.2,0.24,0.15,0.24
2,4.0,0.478,0.5,0.478,0.348,0.222,0.348,0.261,0.154,0.261
3,5.0,0.318,0.212,0.318,0.261,0.167,0.261,0.227,0.091,0.227
4,6.0,0.5,0.37,0.5,0.368,0.241,0.368,0.286,0.113,0.286
5,7.0,0.526,0.333,0.526,0.474,0.3,0.474,0.381,0.151,0.381
6,8.0,0.632,0.387,0.632,0.579,0.333,0.579,0.5,0.15,0.5
7,9.0,0.647,0.355,0.647,0.556,0.345,0.556,0.474,0.17,0.474
8,10.0,0.556,0.303,0.556,0.556,0.312,0.556,0.556,0.182,0.556
9,11.0,0.778,0.412,0.778,0.722,0.419,0.722,0.579,0.177,0.579
10,12.0,0.667,0.316,0.667,0.667,0.333,0.667,0.632,0.214,0.632
11,13.0,0.824,0.368,0.824,0.737,0.378,0.737,0.7,0.212,0.7
12,14.0,0.875,0.412,0.875,0.824,0.389,0.824,0.882,0.263,0.882
13,15.0,0.75,0.357,0.75,0.75,0.385,0.75,0.842,0.291,0.842
14,16.0,0.643,0.439,0.643,0.607,0.395,0.607,0.643,0.375,0.643
15,17.0,0.643,0.429,0.643,0.643,0.474,0.643,0.643,0.257,0.643
16,18.0,0.679,0.404,0.679,0.643,0.391,0.643,0.679,0.322,0.679
17,19.0,0.714,0.465,0.714,0.714,0.465,0.714,0.75,0.412,0.75
18,20.0,0.786,0.5,0.786,0.75,0.477,0.75,0.75,0.356,0.75
