,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.25,0.114,0.25,0.25,0.108,0.25,0.25,0.067,0.25
1,3.0,0.333,0.344,0.333,0.242,0.267,0.242,0.273,0.257,0.273
2,4.0,0.256,0.525,0.256,0.159,0.394,0.159,0.183,0.5,0.183
3,5.0,0.412,0.189,0.412,0.353,0.146,0.353,0.353,0.13,0.353
4,6.0,0.268,0.565,0.268,0.175,0.347,0.175,0.206,0.714,0.206
5,7.0,0.26,0.619,0.26,0.18,0.462,0.18,0.21,0.6,0.21
6,8.0,0.4,0.162,0.4,0.4,0.162,0.4,0.353,0.087,0.353
7,9.0,0.281,0.439,0.281,0.234,0.341,0.234,0.262,0.425,0.262
8,10.0,0.318,0.5,0.318,0.273,0.462,0.273,0.262,0.34,0.262
9,11.0,0.408,0.674,0.408,0.355,0.643,0.355,0.329,0.556,0.329
10,12.0,0.313,0.689,0.313,0.253,0.556,0.253,0.273,0.551,0.273
11,13.0,0.322,0.659,0.322,0.244,0.629,0.244,0.278,0.431,0.278
12,14.0,0.286,0.643,0.286,0.23,0.558,0.23,0.262,0.579,0.262
13,15.0,0.248,0.971,0.248,0.177,0.797,0.177,0.184,0.875,0.184
14,16.0,0.228,0.891,0.228,0.156,0.747,0.156,0.172,0.925,0.172
15,17.0,0.355,0.75,0.355,0.297,0.767,0.297,0.274,0.574,0.274
16,18.0,0.278,0.867,0.278,0.193,0.714,0.193,0.232,0.896,0.232
17,19.0,0.304,0.818,0.304,0.243,0.643,0.243,0.238,0.59,0.238
18,20.0,0.535,0.605,0.535,0.5,0.595,0.5,0.5,0.318,0.5
