,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.296,0.267,0.296,0.185,0.128,0.185,0.222,0.194,0.222
1,3.0,0.24,0.188,0.24,0.16,0.105,0.16,0.2,0.102,0.2
2,4.0,0.391,0.333,0.391,0.304,0.219,0.304,0.25,0.133,0.25
3,5.0,0.409,0.333,0.409,0.364,0.25,0.364,0.304,0.156,0.304
4,6.0,0.476,0.323,0.476,0.381,0.242,0.381,0.381,0.151,0.381
5,7.0,0.632,0.462,0.632,0.579,0.407,0.579,0.4,0.163,0.4
6,8.0,0.444,0.267,0.444,0.444,0.267,0.444,0.5,0.214,0.5
7,9.0,0.647,0.344,0.647,0.647,0.355,0.647,0.529,0.164,0.529
8,10.0,0.556,0.278,0.556,0.556,0.286,0.556,0.647,0.204,0.647
9,11.0,0.588,0.278,0.588,0.588,0.286,0.588,0.647,0.208,0.647
10,12.0,0.667,0.364,0.667,0.667,0.333,0.667,0.75,0.231,0.75
11,13.0,0.8,0.324,0.8,0.8,0.353,0.8,0.812,0.245,0.812
12,14.0,0.875,0.389,0.875,0.875,0.368,0.875,0.933,0.241,0.933
13,15.0,0.824,0.4,0.824,0.824,0.389,0.824,0.778,0.206,0.778
14,16.0,0.941,0.471,0.941,0.941,0.471,0.941,0.895,0.309,0.895
15,17.0,0.944,0.415,0.944,0.944,0.415,0.944,0.895,0.293,0.895
16,18.0,1.0,0.429,1.0,1.0,0.45,1.0,0.947,0.305,0.947
17,19.0,0.95,0.452,0.95,0.95,0.452,0.95,0.95,0.317,0.95
18,20.0,0.952,0.476,0.952,0.952,0.476,0.952,0.952,0.328,0.952
