,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.178,0.123,0.178,0.121,0.068,0.121,0.018,0.004,0.018
1,3.0,0.176,0.118,0.176,0.119,0.066,0.119,0.023,0.006,0.023
2,4.0,0.182,0.123,0.182,0.129,0.074,0.129,0.032,0.008,0.032
3,5.0,0.194,0.133,0.194,0.132,0.076,0.132,0.035,0.009,0.035
4,6.0,0.195,0.135,0.195,0.13,0.074,0.13,0.039,0.01,0.039
5,7.0,0.193,0.133,0.193,0.135,0.077,0.135,0.044,0.011,0.044
6,8.0,0.192,0.13,0.192,0.141,0.079,0.141,0.047,0.012,0.047
7,9.0,0.195,0.132,0.195,0.138,0.077,0.138,0.049,0.013,0.049
8,10.0,0.208,0.141,0.208,0.137,0.075,0.137,0.054,0.014,0.054
9,11.0,0.206,0.14,0.206,0.139,0.076,0.139,0.057,0.015,0.057
10,12.0,0.204,0.138,0.204,0.143,0.078,0.143,0.059,0.016,0.059
11,13.0,0.203,0.137,0.203,0.148,0.082,0.148,0.062,0.016,0.062
12,14.0,0.204,0.136,0.204,0.146,0.08,0.146,0.062,0.016,0.062
13,15.0,0.212,0.14,0.212,0.147,0.08,0.147,0.065,0.017,0.065
14,16.0,0.215,0.141,0.215,0.15,0.082,0.15,0.065,0.017,0.065
15,17.0,0.214,0.139,0.214,0.153,0.083,0.153,0.068,0.018,0.068
16,18.0,0.225,0.146,0.225,0.156,0.084,0.156,0.073,0.019,0.073
17,19.0,0.229,0.146,0.229,0.159,0.085,0.159,0.073,0.019,0.073
18,20.0,0.235,0.149,0.235,0.163,0.086,0.163,0.076,0.02,0.076
