,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.157,0.108,0.157,0.121,0.067,0.121,0.018,0.004,0.018
1,3.0,0.16,0.108,0.16,0.128,0.074,0.128,0.027,0.007,0.027
2,4.0,0.177,0.116,0.177,0.138,0.082,0.138,0.034,0.008,0.034
3,5.0,0.196,0.136,0.196,0.148,0.084,0.148,0.037,0.009,0.037
4,6.0,0.179,0.121,0.179,0.139,0.076,0.139,0.037,0.009,0.037
5,7.0,0.186,0.121,0.186,0.14,0.078,0.14,0.044,0.011,0.044
6,8.0,0.201,0.135,0.201,0.152,0.086,0.152,0.049,0.012,0.049
7,9.0,0.224,0.149,0.224,0.165,0.09,0.165,0.049,0.012,0.049
8,10.0,0.208,0.135,0.208,0.149,0.082,0.149,0.052,0.013,0.052
9,11.0,0.207,0.132,0.207,0.15,0.082,0.15,0.057,0.015,0.057
10,12.0,0.2,0.128,0.2,0.155,0.084,0.155,0.053,0.013,0.053
11,13.0,0.199,0.128,0.199,0.153,0.084,0.153,0.06,0.015,0.06
12,14.0,0.216,0.14,0.216,0.149,0.08,0.149,0.067,0.018,0.067
13,15.0,0.208,0.132,0.208,0.148,0.079,0.148,0.061,0.015,0.061
14,16.0,0.206,0.133,0.206,0.158,0.085,0.158,0.061,0.015,0.061
15,17.0,0.227,0.138,0.227,0.166,0.089,0.166,0.071,0.018,0.071
16,18.0,0.252,0.158,0.252,0.167,0.089,0.167,0.066,0.017,0.066
17,19.0,0.235,0.149,0.235,0.175,0.093,0.175,0.081,0.022,0.081
18,20.0,0.222,0.138,0.222,0.175,0.093,0.175,0.069,0.017,0.069
