,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.176,0.099,0.176,0.126,0.061,0.126,0.022,0.004,0.022
1,3.0,0.168,0.154,0.168,0.138,0.112,0.138,0.02,0.007,0.02
2,4.0,0.185,0.149,0.185,0.141,0.099,0.141,0.029,0.009,0.029
3,5.0,0.149,0.298,0.149,0.126,0.238,0.126,0.011,0.01,0.011
4,6.0,0.153,0.367,0.153,0.128,0.293,0.128,0.012,0.014,0.012
5,7.0,0.163,0.352,0.163,0.131,0.267,0.131,0.016,0.016,0.016
6,8.0,0.147,0.45,0.147,0.128,0.381,0.128,0.011,0.018,0.011
7,9.0,0.181,0.183,0.181,0.143,0.128,0.143,0.031,0.012,0.031
8,10.0,0.147,0.482,0.147,0.126,0.411,0.126,0.011,0.021,0.011
9,11.0,0.203,0.186,0.203,0.169,0.133,0.169,0.036,0.012,0.036
10,12.0,0.183,0.346,0.183,0.138,0.236,0.138,0.028,0.023,0.028
11,13.0,0.192,0.315,0.192,0.15,0.217,0.15,0.033,0.023,0.033
12,14.0,0.174,0.351,0.174,0.135,0.259,0.135,0.025,0.025,0.025
13,15.0,0.156,0.588,0.156,0.13,0.508,0.13,0.013,0.036,0.013
14,16.0,0.149,0.571,0.149,0.128,0.5,0.128,0.012,0.03,0.012
15,17.0,0.182,0.396,0.182,0.131,0.268,0.131,0.027,0.028,0.027
16,18.0,0.165,0.593,0.165,0.129,0.499,0.129,0.015,0.043,0.015
17,19.0,0.183,0.475,0.183,0.14,0.351,0.14,0.027,0.04,0.027
18,20.0,0.193,0.292,0.193,0.16,0.213,0.16,0.036,0.023,0.036
