,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.157,0.108,0.157,0.121,0.067,0.121,0.018,0.004,0.018
1,3.0,0.162,0.111,0.162,0.123,0.069,0.123,0.021,0.005,0.021
2,4.0,0.158,0.107,0.158,0.122,0.067,0.122,0.025,0.006,0.025
3,5.0,0.152,0.102,0.152,0.124,0.069,0.124,0.028,0.007,0.028
4,6.0,0.155,0.107,0.155,0.134,0.077,0.134,0.037,0.009,0.037
5,7.0,0.181,0.125,0.181,0.146,0.084,0.146,0.047,0.012,0.047
6,8.0,0.219,0.149,0.219,0.168,0.098,0.168,0.047,0.012,0.047
7,9.0,0.213,0.147,0.213,0.148,0.086,0.148,0.049,0.012,0.049
8,10.0,0.221,0.153,0.221,0.153,0.086,0.153,0.054,0.014,0.054
9,11.0,0.215,0.142,0.215,0.163,0.093,0.163,0.052,0.014,0.052
10,12.0,0.228,0.153,0.228,0.173,0.099,0.173,0.06,0.015,0.06
11,13.0,0.22,0.142,0.22,0.165,0.091,0.165,0.065,0.017,0.065
12,14.0,0.218,0.139,0.218,0.163,0.087,0.163,0.065,0.017,0.065
13,15.0,0.239,0.155,0.239,0.183,0.103,0.183,0.07,0.018,0.07
14,16.0,0.22,0.142,0.22,0.167,0.091,0.167,0.075,0.02,0.075
15,17.0,0.238,0.149,0.238,0.194,0.105,0.194,0.075,0.019,0.075
16,18.0,0.24,0.15,0.24,0.198,0.108,0.198,0.073,0.019,0.073
17,19.0,0.256,0.161,0.256,0.186,0.1,0.186,0.074,0.019,0.074
18,20.0,0.232,0.15,0.232,0.187,0.1,0.187,0.079,0.02,0.079
