,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.222,0.176,0.222,0.185,0.128,0.185,0.148,0.066,0.148
1,3.0,0.28,0.226,0.28,0.24,0.167,0.24,0.192,0.082,0.192
2,4.0,0.375,0.321,0.375,0.333,0.258,0.333,0.24,0.115,0.24
3,5.0,0.409,0.346,0.409,0.364,0.308,0.364,0.292,0.137,0.292
4,6.0,0.429,0.333,0.429,0.381,0.296,0.381,0.348,0.157,0.348
5,7.0,0.5,0.357,0.5,0.45,0.333,0.45,0.409,0.18,0.409
6,8.0,0.5,0.29,0.5,0.474,0.29,0.474,0.476,0.2,0.476
7,9.0,0.556,0.294,0.556,0.526,0.286,0.526,0.55,0.216,0.55
8,10.0,0.647,0.344,0.647,0.611,0.333,0.611,0.579,0.208,0.579
9,11.0,0.706,0.364,0.706,0.667,0.353,0.667,0.667,0.226,0.667
10,12.0,0.765,0.394,0.765,0.722,0.382,0.722,0.722,0.241,0.722
11,13.0,0.778,0.412,0.778,0.737,0.412,0.737,0.737,0.259,0.737
12,14.0,0.789,0.429,0.789,0.789,0.429,0.789,0.789,0.273,0.789
13,15.0,0.889,0.444,0.889,0.889,0.444,0.889,0.889,0.286,0.889
14,16.0,0.895,0.486,0.895,0.895,0.472,0.895,0.895,0.298,0.895
15,17.0,0.9,0.5,0.9,0.9,0.5,0.9,0.9,0.31,0.9
16,18.0,0.905,0.487,0.905,0.905,0.5,0.905,0.95,0.322,0.95
17,19.0,0.909,0.5,0.909,0.909,0.513,0.909,0.952,0.333,0.952
18,20.0,0.913,0.525,0.913,0.913,0.538,0.913,0.955,0.344,0.955
