,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.222,0.176,0.222,0.185,0.128,0.185,0.148,0.066,0.148
1,3.0,0.32,0.276,0.32,0.28,0.2,0.28,0.2,0.093,0.2
2,4.0,0.375,0.321,0.375,0.333,0.25,0.333,0.292,0.171,0.292
3,5.0,0.348,0.276,0.348,0.304,0.219,0.304,0.318,0.152,0.318
4,6.0,0.364,0.267,0.364,0.318,0.226,0.318,0.364,0.163,0.364
5,7.0,0.429,0.281,0.429,0.381,0.25,0.381,0.429,0.184,0.429
6,8.0,0.474,0.3,0.474,0.45,0.281,0.45,0.5,0.204,0.5
7,9.0,0.526,0.303,0.526,0.526,0.323,0.526,0.55,0.216,0.55
8,10.0,0.611,0.324,0.611,0.611,0.355,0.611,0.579,0.208,0.579
9,11.0,0.667,0.343,0.667,0.667,0.387,0.667,0.632,0.226,0.632
10,12.0,0.765,0.394,0.765,0.722,0.382,0.722,0.722,0.241,0.722
11,13.0,0.875,0.412,0.875,0.824,0.412,0.824,0.778,0.255,0.778
12,14.0,0.833,0.405,0.833,0.833,0.455,0.833,0.833,0.273,0.833
13,15.0,0.8,0.471,0.8,0.8,0.457,0.8,0.8,0.286,0.8
14,16.0,0.85,0.459,0.85,0.85,0.472,0.85,0.85,0.298,0.85
15,17.0,0.9,0.5,0.9,0.9,0.5,0.9,0.9,0.31,0.9
16,18.0,0.905,0.487,0.905,0.905,0.5,0.905,0.95,0.322,0.95
17,19.0,0.909,0.5,0.909,0.909,0.513,0.909,0.952,0.333,0.952
18,20.0,0.913,0.525,0.913,0.913,0.538,0.913,0.955,0.344,0.955
