,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.222,0.176,0.222,0.185,0.128,0.185,0.148,0.066,0.148
1,3.0,0.29,0.321,0.29,0.226,0.2,0.226,0.161,0.093,0.161
2,4.0,0.263,0.385,0.263,0.211,0.216,0.211,0.184,0.127,0.184
3,5.0,0.303,0.385,0.303,0.273,0.265,0.273,0.242,0.205,0.242
4,6.0,0.297,0.344,0.297,0.243,0.243,0.243,0.189,0.156,0.189
5,7.0,0.324,0.4,0.324,0.27,0.333,0.27,0.243,0.18,0.243
6,8.0,0.312,0.333,0.312,0.219,0.212,0.219,0.212,0.159,0.212
7,9.0,0.436,0.486,0.436,0.359,0.326,0.359,0.308,0.261,0.308
8,10.0,0.354,0.548,0.354,0.271,0.419,0.271,0.245,0.267,0.245
9,11.0,0.306,0.355,0.306,0.222,0.229,0.222,0.211,0.148,0.211
10,12.0,0.361,0.433,0.361,0.333,0.324,0.333,0.316,0.267,0.316
11,13.0,0.444,0.513,0.444,0.422,0.463,0.422,0.354,0.37,0.354
12,14.0,0.361,0.406,0.361,0.278,0.256,0.278,0.263,0.2,0.263
13,15.0,0.364,0.516,0.364,0.318,0.583,0.318,0.292,0.269,0.292
14,16.0,0.231,0.375,0.231,0.212,0.324,0.212,0.241,0.241,0.241
15,17.0,0.231,0.375,0.231,0.212,0.324,0.212,0.241,0.241,0.241
16,18.0,0.361,0.394,0.361,0.278,0.303,0.278,0.275,0.212,0.275
17,19.0,0.541,0.571,0.541,0.541,0.606,0.541,0.526,0.345,0.526
18,20.0,0.4,0.533,0.4,0.366,0.484,0.366,0.349,0.3,0.349
