,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.222,0.176,0.222,0.185,0.128,0.185,0.148,0.066,0.148
1,3.0,0.308,0.276,0.308,0.269,0.2,0.269,0.231,0.143,0.231
2,4.0,0.375,0.321,0.375,0.333,0.25,0.333,0.25,0.118,0.25
3,5.0,0.348,0.276,0.348,0.304,0.219,0.304,0.318,0.149,0.318
4,6.0,0.364,0.267,0.364,0.318,0.226,0.318,0.364,0.163,0.364
5,7.0,0.429,0.29,0.429,0.381,0.25,0.381,0.429,0.184,0.429
6,8.0,0.474,0.3,0.474,0.45,0.273,0.45,0.5,0.204,0.5
7,9.0,0.556,0.323,0.556,0.526,0.303,0.526,0.55,0.216,0.55
8,10.0,0.647,0.344,0.647,0.611,0.333,0.611,0.579,0.208,0.579
9,11.0,0.706,0.364,0.706,0.667,0.353,0.667,0.667,0.226,0.667
10,12.0,0.812,0.382,0.812,0.765,0.371,0.765,0.765,0.241,0.765
11,13.0,0.824,0.378,0.824,0.778,0.368,0.778,0.875,0.264,0.875
12,14.0,0.778,0.378,0.778,0.737,0.378,0.737,0.778,0.255,0.778
13,15.0,0.842,0.41,0.842,0.842,0.421,0.842,0.889,0.291,0.889
14,16.0,0.895,0.459,0.895,0.895,0.486,0.895,0.944,0.298,0.944
15,17.0,0.9,0.429,0.9,0.9,0.419,0.9,0.947,0.31,0.947
16,18.0,0.857,0.429,0.857,0.857,0.429,0.857,0.9,0.316,0.9
17,19.0,0.905,0.463,0.905,0.905,0.452,0.905,0.905,0.339,0.905
18,20.0,0.952,0.476,0.952,0.952,0.488,0.952,0.952,0.339,0.952
