,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.178,0.13,0.178,0.134,0.079,0.134,0.021,0.005,0.021
1,3.0,0.211,0.152,0.211,0.133,0.077,0.133,0.025,0.006,0.025
2,4.0,0.241,0.177,0.241,0.163,0.098,0.163,0.032,0.008,0.032
3,5.0,0.261,0.189,0.261,0.166,0.099,0.166,0.039,0.01,0.039
4,6.0,0.265,0.185,0.265,0.169,0.104,0.169,0.042,0.011,0.042
5,7.0,0.273,0.19,0.273,0.177,0.105,0.177,0.042,0.011,0.042
6,8.0,0.286,0.199,0.286,0.19,0.112,0.19,0.044,0.011,0.044
7,9.0,0.301,0.214,0.301,0.195,0.116,0.195,0.049,0.013,0.049
8,10.0,0.314,0.222,0.314,0.196,0.116,0.196,0.054,0.014,0.054
9,11.0,0.314,0.219,0.314,0.195,0.114,0.195,0.057,0.015,0.057
10,12.0,0.317,0.22,0.317,0.2,0.116,0.2,0.06,0.015,0.06
11,13.0,0.317,0.217,0.317,0.201,0.116,0.201,0.062,0.016,0.062
12,14.0,0.316,0.214,0.316,0.2,0.115,0.2,0.063,0.016,0.063
13,15.0,0.324,0.22,0.324,0.208,0.12,0.208,0.065,0.017,0.065
14,16.0,0.331,0.223,0.331,0.214,0.122,0.214,0.068,0.017,0.068
15,17.0,0.33,0.217,0.33,0.213,0.12,0.213,0.068,0.017,0.068
16,18.0,0.332,0.215,0.332,0.226,0.125,0.226,0.071,0.018,0.071
17,19.0,0.331,0.213,0.331,0.225,0.124,0.225,0.074,0.019,0.074
18,20.0,0.33,0.211,0.33,0.223,0.122,0.223,0.077,0.02,0.077
