,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.175,0.128,0.175,0.134,0.079,0.134,0.021,0.005,0.021
1,3.0,0.204,0.146,0.204,0.133,0.077,0.133,0.025,0.006,0.025
2,4.0,0.23,0.169,0.23,0.166,0.099,0.166,0.032,0.008,0.032
3,5.0,0.238,0.169,0.238,0.173,0.106,0.173,0.037,0.009,0.037
4,6.0,0.262,0.185,0.262,0.179,0.11,0.179,0.044,0.011,0.044
5,7.0,0.266,0.181,0.266,0.182,0.106,0.182,0.047,0.012,0.047
6,8.0,0.283,0.194,0.283,0.194,0.114,0.194,0.052,0.013,0.052
7,9.0,0.273,0.19,0.273,0.193,0.112,0.193,0.049,0.012,0.049
8,10.0,0.293,0.203,0.293,0.196,0.114,0.196,0.054,0.014,0.054
9,11.0,0.292,0.2,0.292,0.197,0.115,0.197,0.059,0.015,0.059
10,12.0,0.298,0.201,0.298,0.198,0.115,0.198,0.06,0.015,0.06
11,13.0,0.293,0.197,0.293,0.201,0.116,0.201,0.06,0.015,0.06
12,14.0,0.311,0.207,0.311,0.205,0.12,0.205,0.063,0.016,0.063
13,15.0,0.317,0.209,0.317,0.208,0.118,0.208,0.065,0.016,0.065
14,16.0,0.316,0.203,0.316,0.202,0.112,0.202,0.066,0.017,0.066
15,17.0,0.313,0.204,0.313,0.213,0.121,0.213,0.068,0.017,0.068
16,18.0,0.324,0.211,0.324,0.216,0.12,0.216,0.071,0.018,0.071
17,19.0,0.319,0.2,0.319,0.207,0.114,0.207,0.072,0.018,0.072
18,20.0,0.322,0.203,0.322,0.215,0.119,0.215,0.079,0.02,0.079
