,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.23,0.166,0.23,0.155,0.095,0.155,0.018,0.005,0.018
1,3.0,0.283,0.222,0.283,0.165,0.117,0.165,0.023,0.007,0.023
2,4.0,0.324,0.272,0.324,0.167,0.137,0.167,0.026,0.009,0.026
3,5.0,0.168,0.333,0.168,0.14,0.246,0.14,0.013,0.011,0.013
4,6.0,0.204,0.327,0.204,0.149,0.22,0.149,0.016,0.011,0.016
5,7.0,0.231,0.279,0.231,0.156,0.172,0.156,0.018,0.009,0.018
6,8.0,0.203,0.453,0.203,0.151,0.363,0.151,0.015,0.019,0.015
7,9.0,0.238,0.428,0.238,0.171,0.299,0.171,0.02,0.019,0.02
8,10.0,0.26,0.455,0.26,0.177,0.31,0.177,0.022,0.022,0.022
9,11.0,0.272,0.4,0.272,0.173,0.251,0.173,0.022,0.016,0.022
10,12.0,0.223,0.557,0.223,0.163,0.371,0.163,0.019,0.026,0.019
11,13.0,0.234,0.516,0.234,0.165,0.372,0.165,0.02,0.027,0.02
12,14.0,0.237,0.56,0.237,0.167,0.369,0.167,0.021,0.027,0.021
13,15.0,0.196,0.568,0.196,0.148,0.472,0.148,0.015,0.029,0.015
14,16.0,0.167,0.62,0.167,0.135,0.489,0.135,0.012,0.028,0.012
15,17.0,0.241,0.598,0.241,0.17,0.431,0.17,0.021,0.036,0.021
16,18.0,0.252,0.586,0.252,0.161,0.459,0.161,0.019,0.033,0.019
17,19.0,0.222,0.56,0.222,0.164,0.422,0.164,0.019,0.031,0.019
18,20.0,0.17,0.586,0.17,0.132,0.512,0.132,0.012,0.03,0.012
