,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.175,0.128,0.175,0.134,0.079,0.134,0.021,0.005,0.021
1,3.0,0.213,0.147,0.213,0.165,0.101,0.165,0.027,0.007,0.027
2,4.0,0.232,0.17,0.232,0.163,0.098,0.163,0.032,0.008,0.032
3,5.0,0.238,0.173,0.238,0.169,0.1,0.169,0.035,0.009,0.035
4,6.0,0.255,0.183,0.255,0.167,0.097,0.167,0.042,0.01,0.042
5,7.0,0.27,0.194,0.27,0.182,0.106,0.182,0.044,0.011,0.044
6,8.0,0.269,0.191,0.269,0.18,0.104,0.18,0.044,0.011,0.044
7,9.0,0.282,0.198,0.282,0.193,0.115,0.193,0.049,0.013,0.049
8,10.0,0.293,0.205,0.293,0.196,0.117,0.196,0.054,0.014,0.054
9,11.0,0.299,0.202,0.299,0.192,0.113,0.192,0.062,0.016,0.062
10,12.0,0.301,0.201,0.301,0.193,0.113,0.193,0.064,0.017,0.064
11,13.0,0.311,0.212,0.311,0.199,0.115,0.199,0.067,0.017,0.067
12,14.0,0.315,0.214,0.315,0.204,0.118,0.204,0.07,0.018,0.07
13,15.0,0.316,0.213,0.316,0.203,0.116,0.203,0.07,0.018,0.07
14,16.0,0.32,0.214,0.32,0.206,0.117,0.206,0.073,0.019,0.073
15,17.0,0.32,0.211,0.32,0.212,0.118,0.212,0.078,0.02,0.078
16,18.0,0.316,0.207,0.316,0.215,0.119,0.215,0.083,0.022,0.083
17,19.0,0.323,0.211,0.323,0.216,0.121,0.216,0.086,0.022,0.086
18,20.0,0.326,0.213,0.326,0.219,0.122,0.219,0.088,0.023,0.088
