,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.185,0.132,0.185,0.185,0.128,0.185,0.185,0.102,0.185
1,3.0,0.269,0.233,0.269,0.269,0.212,0.269,0.269,0.2,0.269
2,4.0,0.292,0.212,0.292,0.292,0.206,0.292,0.333,0.242,0.333
3,5.0,0.348,0.242,0.348,0.348,0.229,0.348,0.391,0.273,0.391
4,6.0,0.364,0.229,0.364,0.364,0.222,0.364,0.381,0.205,0.381
5,7.0,0.409,0.265,0.409,0.409,0.231,0.409,0.45,0.231,0.45
6,8.0,0.476,0.286,0.476,0.476,0.25,0.476,0.474,0.225,0.474
7,9.0,0.5,0.27,0.5,0.5,0.244,0.5,0.556,0.25,0.556
8,10.0,0.579,0.289,0.579,0.579,0.275,0.579,0.647,0.268,0.647
9,11.0,0.632,0.316,0.632,0.632,0.3,0.632,0.667,0.286,0.667
10,12.0,0.684,0.333,0.684,0.684,0.325,0.684,0.684,0.289,0.684
11,13.0,0.737,0.35,0.737,0.737,0.35,0.737,0.7,0.241,0.7
12,14.0,0.833,0.366,0.833,0.833,0.395,0.833,0.789,0.263,0.789
13,15.0,0.842,0.381,0.842,0.842,0.41,0.842,0.8,0.276,0.8
14,16.0,0.944,0.395,0.944,0.944,0.459,0.944,0.85,0.283,0.85
15,17.0,0.947,0.409,0.947,0.947,0.45,0.947,0.9,0.295,0.9
16,18.0,0.95,0.422,0.95,0.95,0.475,0.95,0.905,0.311,0.905
17,19.0,0.952,0.435,0.952,0.952,0.5,0.952,0.909,0.333,0.909
18,20.0,0.955,0.457,0.955,0.955,0.512,0.955,0.955,0.35,0.955
