,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.185,0.132,0.185,0.185,0.128,0.185,0.185,0.102,0.185
1,3.0,0.308,0.267,0.308,0.231,0.182,0.231,0.308,0.242,0.308
2,4.0,0.292,0.212,0.292,0.292,0.206,0.292,0.333,0.242,0.333
3,5.0,0.318,0.212,0.318,0.318,0.212,0.318,0.364,0.205,0.364
4,6.0,0.35,0.226,0.35,0.333,0.206,0.333,0.364,0.211,0.364
5,7.0,0.409,0.265,0.409,0.409,0.231,0.409,0.45,0.231,0.45
6,8.0,0.45,0.25,0.45,0.429,0.214,0.429,0.526,0.263,0.526
7,9.0,0.526,0.286,0.526,0.5,0.25,0.5,0.611,0.275,0.611
8,10.0,0.579,0.289,0.579,0.579,0.275,0.579,0.647,0.268,0.647
9,11.0,0.632,0.316,0.632,0.632,0.3,0.632,0.667,0.286,0.667
10,12.0,0.722,0.333,0.722,0.722,0.342,0.722,0.722,0.302,0.722
11,13.0,0.737,0.35,0.737,0.737,0.35,0.737,0.7,0.241,0.7
12,14.0,0.833,0.366,0.833,0.833,0.375,0.833,0.789,0.259,0.789
13,15.0,0.941,0.381,0.941,0.941,0.421,0.941,0.889,0.281,0.889
14,16.0,0.944,0.395,0.944,0.944,0.436,0.944,0.895,0.293,0.895
15,17.0,0.947,0.409,0.947,0.947,0.462,0.947,0.9,0.31,0.9
16,18.0,0.95,0.422,0.95,0.95,0.487,0.95,0.905,0.333,0.905
17,19.0,0.952,0.435,0.952,0.952,0.5,0.952,0.909,0.333,0.909
18,20.0,0.955,0.457,0.955,0.955,0.512,0.955,0.955,0.35,0.955
